Open,High,Low,Close,Volume
1.19372,1.19456,1.19353,1.19431,9066.2803
1.19433,1.19494,1.19406,1.19492,9224.9004
1.19493,1.19576,1.19479,1.1956,10732.79
1.19559,1.19596,1.19559,1.19575,10343.0596
1.19575,1.19598,1.19559,1.19574,6689.5
1.19575,1.19594,1.19551,1.19569,6301.5098
1.19571,1.1959,1.19546,1.19571,8484.3701
1.19571,1.19728,1.19539,1.19684,17300.2109
1.19684,1.19855,1.19631,1.198,21756.3906
1.19802,1.19825,1.19717,1.19806,22694.0098
1.19805,1.19817,1.19657,1.19686,12743.2002
1.19686,1.19709,1.19601,1.197,19773.4199
1.19698,1.19727,1.19641,1.19671,16170.1904
1.19671,1.19938,1.19654,1.19921,19598.3691
1.1992,1.20006,1.19751,1.19944,21419.4395
1.19942,1.20418,1.19837,1.20314,34870.6094
1.20314,1.20545,1.20312,1.20376,27363.4199
1.20377,1.20516,1.20375,1.20451,15078.4102
1.20452,1.20522,1.2043,1.20434,13176.6602
1.20434,1.20508,1.20426,1.20477,8504.6104
1.20476,1.20753,1.20476,1.20719,9623.2646
1.20717,1.20765,1.20672,1.20692,4060.3
1.20691,1.20742,1.20667,1.20726,552.6175
1.20723,1.2073,1.20683,1.20706,4397.3101
1.20707,1.20722,1.20652,1.20666,7189.04
1.20666,1.20699,1.20605,1.20684,9087.8096
1.20684,1.20794,1.20679,1.20734,10909.96
1.20733,1.20836,1.20725,1.20822,6487.4702
1.20822,1.20831,1.20746,1.2075,7047.3599
1.2075,1.20755,1.20663,1.20681,9403.1602
1.20682,1.20771,1.20639,1.2065,8726.9404
1.20649,1.20875,1.20647,1.20688,18933.6406
1.20686,1.20763,1.20465,1.20482,26053.7598
1.20481,1.20646,1.20454,1.20535,23156.1191
1.20536,1.20617,1.20461,1.20493,15358.7305
1.20493,1.20534,1.2042,1.20517,18181.0391
1.20516,1.20627,1.20399,1.20594,25083.1602
1.20593,1.20785,1.20579,1.2066,33221.1211
1.2066,1.20829,1.20601,1.20824,32302.1602
1.20824,1.21081,1.20751,1.20782,34512.9219
1.20781,1.20958,1.20755,1.20927,21247.4707
1.20928,1.2099,1.20879,1.20933,12075.4805
1.20933,1.20981,1.20921,1.2093,7173.4502
1.2093,1.21027,1.20899,1.20997,12886.7002
1.20995,1.21043,1.20957,1.21015,5903.1499
1.21018,1.21183,1.21017,1.21132,5451.7002
1.21151,1.21159,1.2111,1.21125,578.68
1.21125,1.21153,1.21086,1.21138,5305.7402
1.21137,1.21143,1.21039,1.21056,9476.9297
1.21055,1.21149,1.21042,1.21132,11616.3701
1.21132,1.21209,1.21119,1.212,8663.2598
1.21201,1.2125,1.21189,1.21238,9068.1201
1.21238,1.21244,1.21161,1.21174,7180.3701
1.21174,1.21225,1.21165,1.21193,8097.2998
1.21193,1.21213,1.21134,1.21179,9769.79
1.21178,1.21255,1.21157,1.21228,18387.6094
1.21227,1.21393,1.21146,1.21215,22521.0703
1.21213,1.21217,1.2101,1.21113,23906.2109
1.21112,1.21189,1.21039,1.21156,20470.2891
1.21156,1.21297,1.21112,1.21289,22885.6191
1.2129,1.21611,1.21187,1.21554,27436.5996
1.21554,1.21566,1.21444,1.2151,25184.0391
1.21512,1.21683,1.21444,1.21596,26490.9492
1.21597,1.21746,1.21569,1.21611,37640.6602
1.2161,1.21632,1.21464,1.21512,22751.3301
1.2151,1.21517,1.21377,1.21461,14938.1797
1.21461,1.21476,1.21326,1.21394,10744.9805
1.21393,1.21438,1.21379,1.21425,11106.9404
1.21424,1.21482,1.21333,1.21455,12513.8848
1.21456,1.21493,1.21425,1.21454,4133.7349
1.21454,1.21467,1.21405,1.21434,382.88
1.21432,1.21497,1.21431,1.21449,4973.9502
1.21449,1.21537,1.21407,1.21495,10281.29
1.21497,1.21529,1.21413,1.21438,16502.4492
1.21439,1.21452,1.21389,1.21446,10093.2598
1.21446,1.21476,1.21417,1.21452,8496.8096
1.21453,1.21473,1.21411,1.21419,9056.5898
1.21419,1.21511,1.2141,1.215,10601.79
1.215,1.21576,1.21478,1.21552,12276.8896
1.21553,1.21605,1.21511,1.21531,17216.25
1.21531,1.21662,1.21436,1.21604,27651.9199
1.21604,1.21731,1.21596,1.21667,30662.6191
1.21667,1.21773,1.21564,1.21751,29143.0996
1.2175,1.21758,1.21621,1.21684,24554.75
1.21685,1.21744,1.21567,1.21584,26714.4004
1.21584,1.21705,1.21316,1.21456,39458.7813
1.21456,1.21717,1.21438,1.21563,32591.8809
1.21564,1.21664,1.21354,1.214,35527.5703
1.21399,1.21462,1.2133,1.2141,20251
1.2141,1.21505,1.21393,1.21434,13682.7695
1.21435,1.21516,1.2141,1.21418,10341.5801
