conversion_line,base_line,lagging_span,leading_line1,leading_line2
1.19404,1.19404,1.20684,0,0
1.19424,1.19424,1.20734,0,0
1.19464,1.19464,1.20822,0,0
1.19474,1.19474,1.2075,0,0
1.19476,1.19476,1.20681,0,0
1.19476,1.19476,1.2065,0,0
1.19476,1.19476,1.20688,0,0
1.1954,1.1954,1.20482,0,0
1.19604,1.19604,1.20535,0,0
1.1963,1.19604,1.20493,0,0
1.19667,1.19604,1.20517,0,0
1.19697,1.19604,1.20594,0,0
1.19697,1.19604,1.2066,0,0
1.19738,1.19645,1.20824,0,0
1.19772,1.19679,1.20782,0,0
1.19978,1.19886,1.20927,0,0
1.20073,1.19949,1.20933,0,0
1.20073,1.19949,1.2093,0,0
1.20073,1.19949,1.20997,0,0
1.20073,1.19949,1.21015,0,0
1.20197,1.20053,1.21132,0,0
1.20209,1.20059,1.21125,0,0
1.20258,1.20059,1.21138,0,0
1.20301,1.20059,1.21056,0,0
1.20538,1.20059,1.21132,0,0
1.2057,1.20059,1.212,1.19404,1.19404
1.2061,1.201,1.21238,1.19424,1.19424
1.20631,1.20158,1.21174,1.19464,1.19464
1.20656,1.20188,1.21193,1.19474,1.19474
1.20721,1.20188,1.21179,1.19476,1.19476
1.20721,1.20188,1.21228,1.19476,1.19476
1.2074,1.20207,1.21215,1.19476,1.19476
1.2067,1.20207,1.21113,1.1954,1.1954
1.20664,1.20238,1.21156,1.19604,1.19604
1.20664,1.20238,1.21289,1.19617,1.19604
1.20648,1.20238,1.21554,1.19636,1.19604
1.20637,1.20238,1.2151,1.1965,1.19604
1.20637,1.20258,1.21596,1.1965,1.19604
1.20637,1.20264,1.21611,1.19692,1.19645
1.2074,1.20416,1.21512,1.19726,1.19679
1.2074,1.20459,1.21461,1.19932,1.19886
1.2074,1.20696,1.21394,1.20011,1.19949
1.2074,1.20728,1.21425,1.20011,1.19949
1.2074,1.2074,1.21455,1.20011,1.19949
1.2074,1.2074,1.21454,1.20011,1.19949
1.20881,1.20791,1.21434,1.20125,1.20053
1.20892,1.20791,1.21449,1.20134,1.20059
1.20967,1.20791,1.21495,1.20159,1.20059
1.20969,1.20791,1.21438,1.2018,1.20059
1.21031,1.20791,1.21446,1.20299,1.20059
1.21054,1.20804,1.21452,1.20315,1.20059
1.21074,1.20824,1.21419,1.20355,1.20073
1.21103,1.20824,1.215,1.20394,1.20094
1.21134,1.20824,1.21552,1.20422,1.20094
1.21144,1.20824,1.21531,1.20454,1.20094
1.21147,1.20827,1.21604,1.20454,1.20094
1.21216,1.20896,1.21667,1.20473,1.20114
1.21202,1.20896,1.21751,1.20438,1.20114
1.21202,1.20896,1.21684,1.20451,1.20114
1.21202,1.20896,1.21584,1.20451,1.20114
1.21311,1.21005,1.21456,1.20443,1.20114
1.21311,1.21005,1.21563,1.20438,1.20114
1.21346,1.21131,1.214,1.20448,1.20114
1.21378,1.21174,1.2141,1.20451,1.20114
1.21378,1.21248,1.21434,1.20578,1.20217
1.21378,1.2125,1.21418,1.206,1.20217
1.21393,1.21312,1.21372,1.20718,1.20217
1.21429,1.21322,1.21271,1.20734,1.20217
