date,high,low,open,close,Volume
1441567800000,1400.0,1400.0,1400.0,1400.0,140000000
1441654200000,1400.0,1400.0,1400.0,1400.0,11099200
1442259000000,1400.0,1400.0,1400.0,1400.0,2592800
1442694600000,1400.0,1400.0,1400.0,1400.0,6846000
1442867400000,1400.0,1400.0,1400.0,1400.0,70310800
1443299400000,1400.0,1400.0,1400.0,1400.0,140000000
1443558600000,1400.0,1400.0,1400.0,1400.0,140000
1444681800000,1400.0,1400.0,1400.0,1400.0,56000000
1445027400000,1400.0,1400.0,1400.0,1400.0,56000000
1445286600000,1400.0,1400.0,1400.0,1400.0,98000000
1446409800000,1400.0,1400.0,1400.0,1400.0,621600
1446841800000,1400.0,1400.0,1400.0,1400.0,1622600
1447705800000,1400.0,1400.0,1400.0,1400.0,8194200
1449952200000,1400.0,1400.0,1400.0,1400.0,1348200
1451075400000,1350.0,1349.0,1349.0,1350.0,3968794
1451421000000,1300.0,1300.0,1300.0,1300.0,577200
1451680200000,1300.0,1279.0,1300.0,1300.0,14849684
1453062600000,1300.0,1300.0,1300.0,1300.0,1348100
1453581000000,1350.0,1300.0,1350.0,1300.0,11947440
1453753800000,1300.0,1300.0,1300.0,1300.0,481000
1454099400000,1300.0,1300.0,1300.0,1300.0,5682300
1454272200000,1300.0,1300.0,1300.0,1300.0,1155700
1454445000000,1300.0,1300.0,1300.0,1300.0,288600
1454704200000,1300.0,1300.0,1300.0,1300.0,577200
1454790600000,1300.0,1300.0,1300.0,1300.0,673400
1454963400000,1300.0,1300.0,1300.0,1300.0,6743100
1455049800000,1300.0,1300.0,1300.0,1300.0,3112200
1455309000000,1300.0,1300.0,1300.0,1300.0,2923700
1455395400000,1300.0,1300.0,1300.0,1300.0,4651400
1455481800000,1400.0,1300.0,1300.0,1400.0,56148600
1456000200000,1300.0,1300.0,1300.0,1300.0,3403400
1458073800000,1419.0,1300.0,1300.0,1419.0,7672200
1461094200000,1200.0,1200.0,1200.0,1200.0,1509600
1461353400000,1200.0,1200.0,1200.0,1200.0,10490400
1463427000000,1200.0,1200.0,1200.0,1200.0,7999200
1463772600000,1200.0,1200.0,1200.0,1200.0,621600
1466364600000,1400.0,1169.0,1169.0,1169.0,217919662
1471807800000,1287.0,1287.0,1287.0,1287.0,6435000
1473795000000,1230.0,1230.0,1230.0,1230.0,1639590
1474140600000,1230.0,1230.0,1230.0,1230.0,820410
1477254600000,1230.0,1160.0,1230.0,1200.0,21898620
1477859400000,1200.0,1200.0,1200.0,1200.0,36000000
1482697800000,1179.0,1179.0,1179.0,1179.0,53466471
1486153800000,1178.0,1178.0,1178.0,1178.0,174344
1486931400000,1090.0,1090.0,1090.0,1090.0,4800360
1487017800000,1049.0,1030.0,1030.0,1049.0,5504742
1487968200000,1050.0,1045.0,1045.0,1050.0,9871832
1489437000000,1000.0,1000.0,1000.0,1000.0,445000
1489782600000,1100.0,1100.0,1100.0,1100.0,2602600
1490473800000,1125.0,1125.0,1125.0,1125.0,101250
1490643000000,1237.0,1125.0,1125.0,1237.0,12147274
1490729400000,1155.0,1150.0,1155.0,1150.0,5271395
1491161400000,1100.0,1100.0,1100.0,1100.0,19334700
1491247800000,1100.0,1100.0,1100.0,1100.0,488400
1491334200000,1100.0,1010.0,1030.0,1100.0,24510630
1491593400000,1100.0,1005.0,1100.0,1005.0,4787455
1491679800000,1100.0,1096.0,1096.0,1100.0,15581584
1491766200000,1104.0,1101.0,1101.0,1104.0,7589372
1491939000000,1212.0,1040.0,1200.0,1040.0,21160160
1492198200000,1233.0,1140.0,1140.0,1233.0,75015080
1492284600000,1284.0,1284.0,1284.0,1284.0,210171540
1492371000000,1410.0,1162.0,1410.0,1398.0,24987412
1492543800000,1385.0,1235.0,1235.0,1282.0,42743433
1492803000000,1380.0,1201.0,1201.0,1380.0,177595310
1492889400000,1475.0,1208.0,1271.0,1208.0,86120169
1492975800000,1201.0,1144.0,1200.0,1144.0,36158752
1493148600000,1177.0,1079.0,1140.0,1177.0,39607136
1493407800000,1196.0,1001.0,1001.0,1196.0,36894546
1493494200000,1100.0,1069.0,1069.0,1075.0,62795819
1493580600000,1167.0,1045.0,1070.0,1167.0,32403240
1493667000000,1196.0,1070.0,1072.0,1196.0,65956126
1493753400000,1233.0,1130.0,1130.0,1233.0,53126567
1494012600000,1331.0,1160.0,1230.0,1331.0,43538540
1494099000000,1330.0,1170.0,1170.0,1218.0,46913445
1494185400000,1327.0,1107.0,1107.0,1197.0,89004100
1494271800000,1294.0,1230.0,1261.0,1290.0,54445661
1494358200000,1408.0,1200.0,1300.0,1408.0,282985456
1494617400000,1487.0,1408.0,1408.0,1487.0,1463912416
1494703800000,1634.0,1634.0,1634.0,1634.0,1008869182
1494790200000,1797.0,1797.0,1797.0,1797.0,148757457
1494876600000,1976.0,1900.0,1976.0,1900.0,12315658515
1494963000000,1959.0,1776.0,1831.0,1784.0,956595350
1495222200000,2025.0,1710.0,1710.0,1799.0,4381377560
1495308600000,2003.0,1799.0,1799.0,2003.0,5807954495
1495395000000,2172.0,1870.0,2130.0,1898.0,5121000348
1495481400000,2225.0,1880.0,1948.0,2225.0,22660411093
1495567800000,2291.0,2291.0,2291.0,2291.0,132188409
1495827000000,2520.0,2520.0,2520.0,2520.0,497259000
1495913400000,2772.0,2303.0,2772.0,2390.0,40462648113
1495999800000,2499.0,2406.0,2432.0,2406.0,5375171094
1496086200000,2649.0,2300.0,2300.0,2420.0,8127366922
1496172600000,2536.0,2248.0,2304.0,2248.0,6021503988
1496431800000,2448.0,2176.0,2176.0,2255.0,4316018534
1496691000000,2499.0,2180.0,2250.0,2326.0,5186578522
1496777400000,2448.0,2147.0,2300.0,2161.0,3476543775
1497036600000,2261.0,2041.0,2211.0,2098.0,2096163286
1497123000000,2159.0,1918.0,2090.0,1923.0,2791532068
1497209400000,2164.0,1840.0,1840.0,2086.0,5302277685
1497295800000,2196.0,1930.0,2000.0,1999.0,1701696548
1497382200000,2184.0,1901.0,2000.0,2160.0,2171095012
1497641400000,2189.0,2012.0,2012.0,2078.0,589774696
1497727800000,2168.0,1962.0,2097.0,1962.0,865984849
1497814200000,2194.0,1951.0,1990.0,2001.0,3161291317
1497900600000,2140.0,1990.0,2012.0,2017.0,1137827477
1497987000000,2130.0,1980.0,2019.0,1990.0,647768932
1498246200000,2040.0,1870.0,1911.0,1877.0,915763560
1498332600000,2050.0,1870.0,1870.0,1950.0,1280194410
1498591800000,2070.0,1950.0,2048.0,1990.0,1297471742
1498851000000,2000.0,1873.0,1980.0,1873.0,988075122
1498937400000,1894.0,1741.0,1851.0,1821.0,2952021725
1499023800000,1829.0,1750.0,1750.0,1794.0,2356142686
1499110200000,1840.0,1770.0,1800.0,1800.0,1025710572
1499196600000,1978.0,1800.0,1810.0,1978.0,5973022986
1499455800000,2019.0,1802.0,1978.0,1899.0,2780635369
1499542200000,1949.0,1803.0,1854.0,1830.0,2663889831
1499628600000,1893.0,1737.0,1820.0,1742.0,4806568001
1499715000000,1780.0,1682.0,1760.0,1701.0,881914193
1499801400000,1750.0,1700.0,1700.0,1720.0,1089395615
1500060600000,1750.0,1551.0,1750.0,1650.0,4060935097
1502134200000,1899.0,1899.0,1899.0,1899.0,1170554994
1502220600000,2079.0,1855.0,2000.0,1937.0,9309140760
1502479800000,1955.0,1853.0,1937.0,1890.0,4035933102
1502566200000,1920.0,1731.0,1862.0,1811.0,559121620
1502652600000,2005.0,1767.0,1801.0,1943.0,4173500226
1502739000000,2080.0,1767.0,1953.0,1767.0,3962352339
1502825400000,2077.0,1782.0,1813.0,1981.0,4321572237
1503084600000,2041.0,1980.0,2000.0,1994.0,1912762264
1503171000000,2162.0,2000.0,2000.0,2090.0,4763045518
1503257400000,2308.0,2052.0,2140.0,2308.0,9626585508
1503343800000,2385.0,2150.0,2385.0,2168.0,4865697358
1503430200000,2277.0,2110.0,2110.0,2171.0,3395481064
1503689400000,2230.0,2008.0,2030.0,2040.0,3333747317
1503775800000,2147.0,1980.0,2030.0,1991.0,3838798661
1503862200000,2129.0,1970.0,1970.0,2030.0,2100833857
1503948600000,2150.0,2012.0,2059.0,2100.0,1007287948
1504035000000,2100.0,2000.0,2080.0,2000.0,1699414343
1504294200000,2060.0,1960.0,2000.0,1960.0,739016223
1504380600000,2020.0,1952.0,1970.0,1952.0,613493212
1504467000000,1964.0,1900.0,1920.0,1901.0,506745092
1504553400000,1995.0,1900.0,1900.0,1922.0,310374505
1504639800000,1950.0,1861.0,1920.0,1882.0,1097678265
1504985400000,1970.0,1801.0,1920.0,1801.0,400795930
