date,high,low,open,close,Volume
1331584200000,1501.0,1200.0,1200.0,1240.0,1522576560
1331670600000,1243.0,1243.0,1243.0,1243.0,68986500
1332534600000,1181.0,1181.0,1181.0,1181.0,2952500
1332621000000,1122.0,1122.0,1122.0,1122.0,11220000
1332790200000,1080.0,1066.0,1066.0,1080.0,169381000
1332876600000,1122.0,1122.0,1122.0,1122.0,6844200
1333308600000,1178.0,1178.0,1178.0,1178.0,2945000
1333395000000,1236.0,1236.0,1236.0,1236.0,211152060
1333481400000,1297.0,1297.0,1297.0,1297.0,58222330
1333740600000,1361.0,1237.0,1361.0,1243.0,390465185
1333827000000,1255.0,1254.0,1255.0,1254.0,16685700
1333913400000,1194.0,1193.0,1193.0,1194.0,71339470
1333999800000,1252.0,1170.0,1251.0,1252.0,89543998
1334086200000,1306.0,1305.0,1306.0,1306.0,83583997
1334345400000,1371.0,1261.0,1371.0,1371.0,160381000
1334431800000,1420.0,1419.0,1420.0,1419.0,120680000
1334518200000,1491.0,1491.0,1491.0,1491.0,2982000
1334691000000,1420.0,1417.0,1420.0,1417.0,31890000
1334950200000,1416.0,1416.0,1416.0,1416.0,70800000
1336937400000,1346.0,1346.0,1346.0,1346.0,13460000
1378582200000,2001.0,1845.0,1850.0,2001.0,213845000
1378668600000,1953.0,1953.0,1953.0,1953.0,1953000
1378755000000,2050.0,2050.0,2050.0,2050.0,2117650
1378841400000,2152.0,2152.0,2152.0,2152.0,2173520
1379100600000,2259.0,2259.0,2259.0,2259.0,143446500
1379359800000,2371.0,2371.0,2371.0,2371.0,239471
1379449800000,2489.0,2489.0,2489.0,2489.0,248900
1379709000000,2613.0,2613.0,2613.0,2613.0,261300000
1379795400000,2743.0,2700.0,2743.0,2700.0,89960000
1379881800000,2593.0,2593.0,2593.0,2593.0,38895000
1380054600000,2722.0,2700.0,2700.0,2722.0,144046000
1380400200000,2799.0,2700.0,2700.0,2799.0,80035000
1380918600000,2760.0,2651.0,2700.0,2651.0,399706900
1381005000000,2650.0,2530.0,2550.0,2650.0,161866610
1381091400000,2689.0,2650.0,2650.0,2689.0,58440390
1381177800000,2814.0,2750.0,2814.0,2750.0,174256600
1381264200000,2798.0,2641.0,2798.0,2641.0,427952892
1381523400000,2515.0,2515.0,2515.0,2515.0,285168305
1381782600000,2640.0,2640.0,2640.0,2640.0,124898400
1382387400000,2772.0,2748.0,2748.0,2772.0,212094920
1382473800000,2907.0,2907.0,2907.0,2907.0,19912950
1382733000000,3052.0,3052.0,3052.0,3052.0,30520000
1382819400000,3204.0,3203.0,3204.0,3204.0,497331900
1382905800000,3364.0,3204.0,3204.0,3220.0,65485804
1382992200000,3370.0,3357.0,3357.0,3370.0,344754700
1383078600000,3204.0,3200.0,3204.0,3200.0,204467240
1383337800000,3360.0,3100.0,3100.0,3360.0,287652960
1383510600000,3355.0,3340.0,3340.0,3355.0,312942500
1383597000000,3514.0,3514.0,3514.0,3514.0,3514000
1384029000000,3689.0,3689.0,3689.0,3689.0,137507475
1384633800000,3873.0,3873.0,3873.0,3873.0,38730000
1384720200000,4066.0,4066.0,4066.0,4066.0,45173260
1384806600000,4269.0,4269.0,4269.0,4269.0,285382650
1384893000000,4269.0,4269.0,4269.0,4269.0,30314169
1385152200000,4482.0,4478.0,4478.0,4482.0,179200000
1385238600000,4256.0,4256.0,4256.0,4256.0,180739552
1385325000000,4200.0,4044.0,4200.0,4044.0,212852000
1385411400000,3920.0,3850.0,3850.0,3920.0,169731200
1385497800000,4058.0,4058.0,4058.0,4058.0,24145100
1385757000000,4260.0,4260.0,4260.0,4260.0,21300000
1385843400000,4473.0,4473.0,4473.0,4473.0,156555000
1385929800000,4696.0,4690.0,4696.0,4696.0,739642968
1386016200000,4929.0,4928.0,4929.0,4928.0,367678196
1386102600000,4685.0,4682.0,4685.0,4682.0,244639828
1386361800000,4455.0,4448.0,4448.0,4448.0,704139400
1386448200000,4448.0,4226.0,4448.0,4237.0,956820986
1386534600000,4446.0,4040.0,4235.0,4041.0,672696190
1386621000000,4391.0,4391.0,4391.0,4391.0,147142410
1386707400000,4610.0,4610.0,4610.0,4610.0,46100000
1386966600000,4840.0,4750.0,4750.0,4840.0,706310750
1387053000000,5053.0,5053.0,5053.0,5053.0,110589958
1387139400000,5305.0,5305.0,5305.0,5305.0,178248000
1387225800000,5570.0,5570.0,5570.0,5570.0,361576550
1387312200000,5848.0,5848.0,5848.0,5848.0,274259504
1387571400000,6140.0,5556.0,6130.0,5650.0,2021701444
1387657800000,6000.0,5707.0,5710.0,5999.0,1194519272
1387830600000,6118.0,6118.0,6118.0,6118.0,824216960
1387917000000,6423.0,6420.0,6423.0,6423.0,1072633000
1388176200000,6744.0,6744.0,6744.0,6744.0,51254400
1388262600000,7081.0,7081.0,7081.0,7081.0,247835000
1388349000000,7435.0,7435.0,7435.0,7435.0,318426180
1388521800000,7806.0,7806.0,7806.0,7806.0,499584000
1388781000000,8196.0,8196.0,8196.0,8196.0,627198900
1388867400000,8605.0,8605.0,8605.0,8605.0,7099125
1388953800000,9035.0,9035.0,9035.0,9035.0,280536750
1389040200000,9486.0,8584.0,9486.0,8585.0,5632204336
1389126600000,8800.0,8506.0,8800.0,8506.0,537912785
1389385800000,8800.0,8300.0,8567.0,8300.0,949893500
1389472200000,8109.0,8109.0,8109.0,8109.0,38006883
1389558600000,8000.0,7704.0,8000.0,7704.0,305130400
1389645000000,8100.0,7491.0,7491.0,8100.0,88279150
1389731400000,7624.0,7624.0,7624.0,7624.0,45744000
1389990600000,7243.0,7243.0,7243.0,7243.0,5939260
1390163400000,6881.0,6881.0,6881.0,6881.0,61240900
1390249800000,6800.0,6537.0,6540.0,6800.0,104637800
1390336200000,6225.0,6225.0,6225.0,6225.0,6225000
1390595400000,6320.0,5914.0,5914.0,6210.0,395540800
1390681800000,5694.0,5694.0,5694.0,5694.0,62634000
1390768200000,5420.0,5410.0,5410.0,5420.0,112606000
1390854600000,5684.0,5684.0,5684.0,5684.0,63439124
1390941000000,5968.0,5968.0,5968.0,5968.0,118417056
1391200200000,6266.0,6266.0,6266.0,6266.0,676728
1391286600000,6579.0,6570.0,6579.0,6579.0,1073609379
1391373000000,6250.0,6250.0,6250.0,6250.0,113750000
1391459400000,5940.0,5938.0,5938.0,5938.0,148455670
1391545800000,5642.0,5642.0,5642.0,5642.0,56420000
1391891400000,5360.0,5360.0,5360.0,5360.0,172592000
1391977800000,5092.0,5092.0,5092.0,5092.0,229140000
1392150600000,4838.0,4838.0,4838.0,4838.0,24190000
1392409800000,5079.0,5079.0,5079.0,5079.0,14444676
1392496200000,5332.0,5332.0,5332.0,5332.0,37857200
1392582600000,5598.0,5598.0,5598.0,5598.0,588769650
1392669000000,5580.0,5319.0,5320.0,5472.0,353034966
1393101000000,5700.0,5199.0,5250.0,5199.0,184350000
1393187400000,5050.0,5000.0,5050.0,5000.0,100500000
1393273800000,5025.0,4774.0,5025.0,4774.0,27145675
1393360200000,4666.0,4666.0,4666.0,4666.0,122109220
1393619400000,4600.0,4435.0,4600.0,4435.0,81480000
1393705800000,4753.0,4753.0,4753.0,4753.0,54659500
1393792200000,4547.0,4517.0,4531.0,4517.0,431883236
1393878600000,4758.0,4540.0,4700.0,4600.0,128328920
