date,open,Volume
1394829000000,4200.0,29396976000
1394915400000,4410.0,39729690
1395001800000,4630.0,40429160
1395088200000,4861.0,87084815
1395174600000,5104.0,468986144
1395689400000,5359.0,418629003
1395775800000,5626.0,487346624
1396035000000,5907.0,325965981
1396121400000,6202.0,175442176
1396207800000,6512.0,102642144
1396639800000,6837.0,188270469
1396726200000,7178.0,603052492
1396812600000,7536.0,1298098608
1396899000000,7912.0,1139185584
1396985400000,8307.0,6425597412
1397244600000,8577.0,59831859402
1397331000000,8690.0,3179795313
1397417400000,7954.0,142090256
1397503800000,7557.0,20896001240
1397590200000,7635.0,9196850261
1397849400000,7500.0,1753703711
1403033400000,7214.0,4377733028
1403292600000,6932.0,661693312
1403379000000,6574.0,87789196
1403465400000,6246.0,8719930946
1403551800000,6908.0,1339369203
1403638200000,7170.0,5723534626
1403897400000,6604.0,186183441
1403983800000,6303.0,1841156462
1404070200000,5990.0,4561369548
1404156600000,5989.0,1863359378
1404243000000,6350.0,2425814669
1404502200000,6183.0,2570886784
1404588600000,6415.0,264087274
1404675000000,6082.0,3813632808
1404761400000,6177.0,2734679440
1404847800000,6180.0,4904266758
1405107000000,5985.0,2220695840
1405193400000,5800.0,1635056276
1405279800000,5500.0,4207305338
1405366200000,5897.0,1706496734
1405452600000,5550.0,2208567379
1405798200000,5780.0,1107943109
1405884600000,5420.0,1154963711
1405971000000,5490.0,2095669260
1406057400000,5809.0,2257270466
1406316600000,5601.0,553330412
1406403000000,5507.0,461838077
1406489400000,5611.0,488043791
1406921400000,5590.0,766829907
1407007800000,5612.0,935418885
1407094200000,5660.0,600092851
1407180600000,5570.0,407878287
1407267000000,5523.0,215959093
1407526200000,5654.0,2714845351
1407612600000,5561.0,1760981075
1407699000000,5650.0,736169824
1407785400000,5600.0,571126829
1407871800000,5640.0,2771312149
1408131000000,6030.0,8728185815
1408217400000,6140.0,10266998791
1408303800000,6339.0,3022901510
1408390200000,6128.0,2067479043
1408476600000,6026.0,2303480038
1408735800000,5950.0,1354200942
1408822200000,6000.0,1599136230
1408908600000,6053.0,2618673118
1408995000000,6299.0,1456823630
1409081400000,6300.0,455294676
1409340600000,6020.0,354355895
1409427000000,6110.0,570395519
1409513400000,6250.0,4366151069
1409599800000,6750.0,6242094831
1409686200000,6999.0,6750956534
