conversion_line,base_line,lagging_span,leading_line1,leading_line2
9176.84,9084.015,9262.99,9070.61,9085.0
9178.34,9085.515,9254.24,9070.61,9085.0
9192.145,9085.515,9275.66,9069.8,9085.0
9246.0,9106.515,9259.06,9058.828,9085.0
9260.5,9121.015,9281.71,9056.212,9085.0
9260.5,9121.015,9270.0,9056.212,9085.0
9260.5,9121.015,9238.5,9055.25,9085.0
9269.5,9121.015,9253.5,9058.54,9085.0
9272.355,9121.015,9244.78,9058.982,9085.0
9287.0,9121.015,9247.41,9048.198,9085.0
9287.0,9121.015,9257.39,9000.23,9041.515
9311.14,9199.965,9243.19,9009.94,9041.515
9317.67,9217.67,9277.18,9009.94,9041.515
9317.67,9217.67,9302.01,9009.94,9041.515
9317.67,9222.005,9311.23,9009.94,9041.515
9317.67,9227.085,9264.28,9011.018,9041.515
9317.67,9227.085,9270.63,9009.463,9041.515
9317.91,9229.05,9267.99,9009.405,9041.515
9308.82,9229.05,9284.15,9009.405,9041.515
9308.71,9242.855,9285.62,9096.155,9063.18
9308.665,9275.71,9283.52,9107.238,9066.515
9276.35,9275.71,9292.1,9107.238,9066.515
9268.405,9275.71,9309.83,9109.405,9066.515
9268.405,9275.71,9297.47,9111.945,9066.515
9263.785,9284.71,9437.99,9111.945,9066.515
9260.02,9287.565,9425.01,9130.428,9084.015
9255.16,9299.73,9411.72,9131.928,9085.515
9255.16,9299.73,9411.43,9138.83,9085.515
9255.16,9299.73,9422.0,9176.258,9106.515
9255.16,9299.73,9413.87,9190.758,9121.015
9255.59,9299.73,9430.0,9190.758,9121.015
9260.14,9299.73,9433.35,9190.758,9121.015
9246.64,9291.21,9429.99,9195.258,9121.015
9243.535,9291.21,9448.87,9196.685,9121.015
9243.535,9291.21,9436.06,9204.008,9121.015
9243.535,9291.21,9410.0,9204.008,9121.015
9243.535,9291.21,9382.01,9255.552,9134.015
9243.535,9291.21,9382.5,9267.67,9136.225
9256.87,9267.83,9385.02,9267.67,9136.225
9262.795,9262.795,9387.26,9269.838,9136.225
9262.795,9262.795,9381.58,9272.377,9136.225
9276.76,9262.795,9412.0,9272.377,9136.225
9276.795,9262.795,9402.32,9273.48,9136.225
9276.795,9262.795,9397.49,9268.935,9136.225
9276.795,9262.795,9383.92,9275.782,9136.225
9280.295,9262.795,9364.04,9292.188,9136.225
9280.295,9262.795,9401.71,9276.03,9136.225
9280.295,9262.795,9422.61,9272.057,9136.225
9284.0,9266.5,9393.25,9272.057,9136.225
9345.99,9328.49,9295.9,9274.248,9136.225
9354.0,9336.5,9208.58,9273.792,9136.225
9354.0,9336.5,9220.78,9277.445,9136.225
9354.0,9336.5,9208.99,9277.445,9136.225
9367.855,9336.5,9224.99,9277.445,9136.225
9374.0,9336.5,9218.14,9277.445,9136.225
9375.5,9336.5,9233.16,9277.66,9136.225
9377.0,9336.5,9248.69,9279.935,9136.225
9381.815,9336.5,9242.5,9268.925,9136.225
9425.8,9350.465,9232.43,9267.372,9136.225
9424.8,9350.5,9214.03,9267.372,9136.225
9424.8,9350.5,9223.89,9267.372,9136.225
9423.445,9350.5,9215.17,9267.372,9136.225
9414.0,9354.0,9222.7,9267.372,9202.175
9414.0,9354.0,9146.42,9262.35,9217.67
9414.0,9354.0,9148.6,9262.795,9217.67
9414.0,9354.0,9143.05,9262.795,9222.005
9414.0,9354.0,9154.99,9269.778,9227.085
9404.975,9354.0,9174.83,9269.795,9227.085
9400.395,9354.0,9184.58,9269.795,9229.05
9389.805,9354.0,9183.78,9269.795,9229.05
9372.805,9367.855,9161.49,9271.545,9242.855
9372.805,9374.0,9186.11,9271.545,9275.71
9379.46,9375.5,9185.37,9271.545,9275.71
9379.46,9377.0,9189.68,9275.25,9275.71
9351.46,9370.0,9245.92,9337.24,9312.99
9296.46,9315.0,9223.05,9345.25,9330.0
9296.46,9314.0,9221.8,9345.25,9332.855
9296.46,9314.0,9219.5,9345.25,9336.5
9296.46,9314.0,9235.57,9352.178,9336.5
9296.46,9314.0,9231.89,9355.25,9336.5
9296.46,9314.0,9216.57,9356.0,9336.5
9293.435,9314.0,9227.88,9356.75,9336.5
9277.24,9314.0,9288.34,9359.158,9336.5
9227.95,9314.0,9278.69,9388.132,9336.5
9219.615,9304.975,9285.49,9387.65,9336.5
9220.95,9300.395,9277.9,9387.65,9336.5
9220.95,9296.46,9268.2,9386.972,9336.5
9220.95,9296.46,9257.99,9384.0,9336.5
9190.95,9280.46,9260.41,9384.0,9336.5
9189.45,9278.96,9256.57,9384.0,9336.5
9189.45,9278.96,9268.8,9384.0,9336.5
9183.755,9278.96,9258.56,9384.0,9336.5
9181.275,9278.96,9206.93,9379.488,9336.5
9179.005,9278.96,9210.84,9377.198,9336.5
9178.095,9278.96,9200.37,9371.902,9336.5
9178.095,9278.96,9208.94,9370.33,9336.5
9176.23,9278.96,9224.66,9373.402,9336.5
9165.13,9278.96,9231.35,9377.48,9336.5
