adx,DI_plus,DI_minus
0,0,0
0,0,0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,13.95
0.0,0.0,11.74
0.0,3.22,9.64
0.0,2.32,26.48
0.0,1.88,21.4
0.0,8.66,17.43
0.0,9.76,15.65
0.0,11.78,14.11
0.0,18.2,11.28
0.0,16.12,9.99
0.0,16.83,8.92
0.0,14.53,16.64
nan,13.26,15.19
nan,11.41,19.57
nan,9.23,25.22
nan,8.74,23.87
nan,12.22,21.09
nan,11.94,20.08
nan,12.25,18.74
nan,12.21,18.09
nan,10.78,24.36
nan,11.63,22.22
nan,13.19,21.23
nan,12.67,22.36
nan,11.97,22.28
nan,17.17,20.6
nan,20.38,18.72
nan,21.48,17.57
nan,20.97,16.42
nan,18.92,16.7
nan,16.95,18.02
nan,16.14,17.16
nan,37.96,12.51
nan,43.57,9.89
nan,39.41,8.91
nan,39.59,7.97
nan,49.92,6.22
nan,45.71,5.7
nan,45.17,4.97
nan,41.69,4.58
nan,29.91,27.36
nan,24.79,25.18
nan,25.64,22.98
nan,23.75,21.29
nan,25.0,20.15
nan,26.47,18.94
nan,26.53,18.27
nan,25.51,19.17
nan,28.63,17.52
nan,35.05,15.59
nan,33.35,14.83
nan,36.62,13.26
nan,33.29,12.06
nan,30.69,11.12
nan,27.88,13.94
nan,27.06,13.04
nan,26.75,12.18
nan,25.19,12.75
nan,23.43,15.35
nan,20.87,20.57
nan,18.62,19.07
nan,17.13,19.32
nan,15.94,19.68
nan,15.23,18.81
nan,21.78,16.94
nan,21.48,16.37
nan,20.13,20.17
nan,18.25,22.02
nan,17.03,22.43
nan,17.9,20.9
nan,19.31,19.64
nan,18.64,18.96
nan,18.77,18.16
nan,17.76,21.19
nan,17.62,19.86
nan,14.86,29.23
nan,13.33,26.72
nan,11.21,32.5
nan,8.77,40.33
nan,7.87,36.21
nan,10.99,33.79
nan,10.38,31.91
nan,15.25,30.17
nan,14.68,28.78
nan,13.42,32.23
nan,12.55,30.85
nan,12.12,29.77
nan,14.39,28.07
nan,13.7,26.71
nan,12.91,27.99
nan,12.36,26.79
nan,16.01,24.86
nan,21.59,23.11
nan,20.56,22.0
nan,19.77,20.86
