time,open,volume
1583344800000,8723,14491745.5
1583348400000,8718.28,10004794.87
1583352000000,8739.58,10833158.32
1583355600000,8702.85,8791110.9
1583359200000,8724.52,7705401.36
1583362800000,8744.35,9010998.52
1583366400000,8750.87,41008378.72
1583370000000,8859.71,23500974
1583373600000,8873.42,27129847.69
1583377200000,8919.89,19763235.02
1583380800000,8869.82,15730443.08
1583384400000,8891.46,12508881.55
1583388000000,8922.37,15546924.83
1583391600000,8922.99,15909860.01
1583395200000,8895.05,13161824.78
1583398800000,8922.61,52224373.76
1583402400000,9080.12,24351030.23
1583406000000,9086.41,31781123.11
1583409600000,9100.89,27242169.94
1583413200000,9075,20495609.54
1583416800000,9081.95,23425735.61
1583420400000,9023.01,20304425.17
1583424000000,9085.48,19951228.08
1583427600000,9083.37,20427221.47
1583431200000,9093.78,16677076.99
1583434800000,9110.6,12467972.15
1583438400000,9150.9,20211621.88
1583442000000,9110.53,13010422.91
1583445600000,9100.04,13129449.6
1583449200000,9061.89,24142199.08
1583452800000,9054.68,25823018.53
1583456400000,8990,14805082.57
1583460000000,9020,14645409.35
1583463600000,9052.12,9337215.38
1583467200000,9033.59,8886526.08
1583470800000,9046.75,20681598
1583474400000,9107.86,14820552.24
1583478000000,9096.05,19907121.66
1583481600000,9100.91,18859047.79
1583485200000,9114.71,16449883.77
1583488800000,9111.67,23698829.69
1583492400000,9143.48,22368751.29
1583496000000,9127.92,22552919.97
1583499600000,9109.53,22706190.7
1583503200000,9060.87,16774578.22
1583506800000,9071.03,25099141.61
1583510400000,9001.4,23158136.96
1583514000000,9051.45,13533207.22
1583517600000,9073.75,10572397.7
1583521200000,9064.72,9510857.15
1583524800000,9085.12,8481361.78
1583528400000,9097.88,8951588.24
1583532000000,9114.78,12667980.95
1583535600000,9103.89,13307079.56
1583539200000,9131.88,12430708.84
1583542800000,9118.06,10852846.19
1583546400000,9092.5,7350704.32
1583550000000,9097.51,5896498.65
1583553600000,9089.95,10262961.45
1583557200000,9071.02,13118095
1583560800000,9075.76,10514133.92
1583564400000,9067.82,15795517.36
1583568000000,9085.23,17400741.24
1583571600000,9104.36,13909082.82
1583575200000,9111.73,14803183.25
1583578800000,9097.79,14137238.61
1583582400000,9089,23618681.47
1583586000000,9079.91,12496178
1583589600000,9087.79,11145676.89
1583593200000,9113.66,13140628.33
1583596800000,9113.61,56993359.83
1583600400000,9038.91,62128576.58
1583604000000,8925,33964178.57
1583607600000,8876.63,12077555.02
1583611200000,8884.79,10671639.21
1583614800000,8877.4,8024165.48
1583618400000,8877.92,9541865.76
1583622000000,8908.28,9709047.01
1583625600000,8886.66,42094553.85
1583629200000,8785.43,13184337.59
1583632800000,8759.79,13490803.72
1583636400000,8721.7,15365834.99
1583640000000,8747.58,10768881.42
1583643600000,8733.39,10605006.62
1583647200000,8717.47,18200301.87
1583650800000,8725.11,12850803.09
1583654400000,8740.29,12335899.97
1583658000000,8725.58,10537660.84
1583661600000,8712.74,33215957.36
1583665200000,8736.11,12524142.04
1583668800000,8741.53,30425009.74
1583672400000,8679.72,27934711.36
1583676000000,8651.4,33654867.84
1583679600000,8576.55,81641254.53
1583683200000,8400.83,89407428.42
1583686800000,8280.11,41916191.5
1583690400000,8309.91,18084371.74
1583694000000,8294.92,21268404.25
1583697600000,8280.11,12216341.36
1583701200000,8260.72,15570804.23
1583704800000,8247.74,25051252.77
1583708400000,8157.47,54586723.67
1583712000000,8033.31,40744992.96
1583715600000,8081.54,23963829.16
1583719200000,8084.93,19839399.47
1583722800000,8023.42,32894419.96
1583726400000,8063.52,66562098.79
1583730000000,7851.32,93752476.27
1583733600000,7932.05,44030260.46
1583737200000,7883.49,22885835.71
1583740800000,7899.71,31972817.39
1583744400000,7973.7,35086160.14
1583748000000,7888.54,24458151.18
1583751600000,7887.63,52619969.16
1583755200000,7804.92,53373552.56
1583758800000,7881.45,62772735.32
1583762400000,7803.09,45331064.3
1583766000000,7722.5,76372861.75
1583769600000,7765.32,50935107.32
1583773200000,7790.26,34115914.7
1583776800000,7734.35,20670194.95
1583780400000,7753.54,23086220.12
1583784000000,7842.03,20097694.46
1583787600000,7855.82,10076946.28
