Date, Start Of Day Balance, End Of Day Balance, Delta Balance,  ( delta percentage)
02/26/21, 5201.98691766, 4860.89181143, -341.0951 , -6.557
02/27/21, 4879.6808368599995, 4978.05988851, 98.3791 , 2.0161
02/28/21, 4969.73708779, 4519.9411, -449.796 , -9.0507
03/01/21, 4519.9411, 5283.18599218, 763.2449 , 16.8862
03/02/21, 5273.0574996099995, 4913.6021, -359.4554 , -6.8168
03/03/21, 4913.6021, 4943.252283909999, 29.6502 , 0.6034
03/04/21, 4932.944234119999, 4684.18296433, -248.7613 , -5.0429
03/05/21, 4674.188136989999, 4449.53181116, -224.6563 , -4.8063
03/06/21, 4454.184290259999, 4395.14345632, -59.0408 , -1.3255
03/07/21, 4401.64527158, 4586.08935742, 184.4441 , 4.1903
03/08/21, 4578.9328927, 4621.9571545399995, 43.0243 , 0.9396
03/09/21, 4627.57898106, 5524.455961399999, 896.877 , 19.3811
03/10/21, 5507.123708839999, 5396.387939499999, -110.7358 , -2.0108
03/11/21, 5377.23042518, 5667.24451856, 290.0141 , 5.3934
03/12/21, 5686.54762128, 5299.1461, -387.4015 , -6.8126
03/13/21, 5299.1461, 5547.07137232, 247.9253 , 4.6786
03/14/21, 5552.89913518, 5340.40842, -212.4907 , -3.8267
03/15/21, 5346.14555504, 5104.129872239999, -242.0157 , -4.5269
03/16/21, 5109.896559829999, 5088.3448702, -21.5517 , -0.4218
03/17/21, 5088.019792149999, 5170.9738, 82.954 , 1.6304
03/18/21, 5181.636360039999, 5192.08417155, 10.4478 , 0.2016
03/19/21, 5188.7742859499995, 5243.02488707, 54.2506 , 1.0455
03/20/21, 5236.45831046, 5304.041051969999, 67.5827 , 1.2906
03/21/21, 5302.354586449999, 5297.015425749999, -5.3392 , -0.1007
03/23/21, 5277.849611989999, 5116.041520059999, -161.8081 , -3.0658
03/24/21, 5107.92836, 5073.17850154, -34.7499 , -0.6803
03/25/21, 5068.2254941599995, 4619.9818898799995, -448.2436 , -8.8442
03/26/21, 4633.34664952, 4897.75053985, 264.4039 , 5.7065
03/27/21, 4905.82524373, 5152.88627268, 247.061 , 5.0361
03/28/21, 5159.40801154, 5189.884710519999, 30.4767 , 0.5907
03/29/21, 5177.390676239999, 5328.398627879999, 151.008 , 2.9167
03/30/21, 5338.431774639999, 6059.144712300001, 720.7129 , 13.5005
03/31/21, 6042.049728030001, 5859.27989169, -182.7698 , -3.025
04/01/21, 5857.247485860001, 6372.31756115, 515.0701 , 8.7937
04/02/21, 6381.416162899999, 6554.303075559999, 172.8869 , 2.7092
04/03/21, 6559.286606, 6535.944119139999, -23.3425 , -0.3559
04/04/21, 6523.35820146, 6744.717072479999, 221.3589 , 3.3933
04/05/21, 6756.2188604699995, 7243.615821279999, 487.397 , 7.214
04/06/21, 7255.822363599999, 7695.599144500001, 439.7768 , 6.061
04/07/21, 7715.911165320001, 6905.0737, -810.8375 , -10.5086
04/08/21, 6905.0737, 7574.3752417099995, 669.3015 , 9.6929
04/09/21, 7572.210233989999, 7904.122708779999, 331.9125 , 4.3833
04/10/21, 7881.970678469999, 8466.41028122, 584.4396 , 7.4149
04/11/21, 8494.7766036, 8987.36188174, 492.5853 , 5.7987
04/12/21, 8988.56482624, 10290.20121344, 1301.6364 , 14.481
04/13/21, 10296.425, 9805.691905040001, -490.7331 , -4.7661
04/14/21, 9827.215256, 9388.08310412, -439.1322 , -4.4685
04/15/21, 9363.31444352, 9634.510051759999, 271.1956 , 2.8964
04/16/21, 9644.69647748, 8394.284079719999, -1250.4124 , -12.9648
04/17/21, 8416.941990069998, 8457.866880729998, 40.9249 , 0.4862
04/18/21, 8465.971347699999, 8009.14754666, -456.8238 , -5.396
04/19/21, 8024.061313040001, 8509.96790849, 485.9066 , 6.0556
04/20/21, 8477.75484748, 9867.26532206, 1389.5105 , 16.3901
04/21/21, 9878.928328349999, 9694.67847659, -184.2499 , -1.8651
04/22/21, 9647.306985669999, 8649.8608, -997.4462 , -10.3391
04/23/21, 8649.8608, 8784.456885639998, 134.5961 , 1.556
04/24/21, 8787.751862319998, 8544.642583419998, -243.1093 , -2.7665
04/25/21, 8557.78729456, 8384.537889999998, -173.2494 , -2.0245
04/26/21, 8356.549023999998, 9091.466253999999, 734.9172 , 8.7945
04/27/21, 9067.332141999997, 9482.580018999999, 415.2479 , 4.5796
04/28/21, 9492.44535, 9512.343221000001, 19.8979 , 0.2096
04/29/21, 9511.674385, 9793.755968, 282.0816 , 2.9656
04/30/21, 9768.3402, 10533.941632999999, 765.6014 , 7.8376
05/01/21, 10513.589470999998, 10467.880516999998, -45.709 , -0.4348
05/02/21, 10464.377275999997, 10560.299350999998, 95.9221 , 0.9167
05/03/21, 10568.807222, 11373.718546999999, 804.9113 , 7.6159
