conversion_line,base_line,lagging_span,leading_line1,leading_line2
9367.625,9367.625,9336.43,0,0
9388.085,9388.085,9267.83,0,0
9402.85,9402.85,9266.83,0,0
9402.85,9402.85,9322.33,0,0
9402.85,9402.85,9311.43,0,0
9402.85,9402.85,9361.09,0,0
9402.85,9402.85,9370.53,0,0
9402.85,9402.85,9368.06,0,0
9402.85,9402.85,9380.6,0,0
9409.765,9402.85,9423.35,0,0
9409.765,9402.85,9435.54,0,0
9389.275,9392.97,9421.8,0,0
9367.885,9372.765,9421.99,0,0
9367.885,9372.765,9446.86,0,0
9367.885,9372.765,9446.77,0,0
9367.885,9372.765,9427.75,0,0
9353.38,9372.765,9430.73,0,0
9350.99,9372.765,9442.75,0,0
9350.99,9372.765,9438.08,0,0
9350.99,9372.765,9437.55,0,0
9350.99,9372.765,9441.5,0,0
9362.35,9372.765,9380.0,0,0
9362.99,9372.765,9331.51,0,0
9373.99,9372.765,9411.09,0,0
9370.49,9372.765,9510.76,0,0
9364.405,9372.765,9376.3,9367.625,9367.625
9327.87,9355.14,9385.59,9388.085,9388.085
9327.87,9355.14,9392.91,9402.85,9402.85
9264.995,9288.57,9401.8,9402.85,9402.85
9264.995,9287.385,9395.34,9402.85,9402.85
9264.995,9287.385,9368.16,9402.85,9402.85
9264.995,9287.385,9371.22,9402.85,9402.85
9260.0,9287.385,9344.16,9402.85,9402.85
9260.0,9272.88,9312.93,9402.85,9402.85
9285.0,9285.0,9351.48,9406.307,9402.85
9285.0,9285.0,9347.12,9406.307,9402.85
9298.515,9298.515,9331.05,9391.123,9392.97
9383.055,9298.515,9353.61,9370.325,9372.765
9383.055,9298.515,9270.0,9370.325,9372.765
9411.515,9298.515,9263.67,9370.325,9372.765
9411.515,9298.515,9293.37,9370.325,9372.765
9414.765,9298.515,9308.37,9363.072,9372.765
9420.46,9298.515,9316.7,9361.877,9372.765
9420.46,9298.515,9318.04,9361.877,9372.765
9420.46,9298.515,9287.58,9361.877,9372.765
9414.205,9298.515,9274.05,9361.877,9372.765
9414.205,9298.515,9292.24,9367.557,9372.765
9393.26,9298.515,9330.09,9367.877,9372.765
9374.0,9298.515,9275.97,9373.377,9372.765
9453.395,9369.395,9301.56,9371.627,9372.765
9453.395,9369.395,9282.95,9368.585,9372.765
9453.395,9369.395,9271.25,9341.505,9355.14
9453.395,9369.395,9289.34,9341.505,9355.14
9453.395,9369.395,9274.77,9276.782,9292.265
9453.395,9453.395,9278.63,9276.19,9292.265
9453.395,9453.395,9239.8,9276.19,9292.265
