unix,close,Volume BTC
1599858000000,10343.26,896.89989
1599861600000,10359.52,2219.221024
1599865200000,10387.89,1555.388325
1599868800000,10347.31,1520.271931
1599872400000,10370.71,999.018429
1599876000000,10342.98,1215.013484
1599879600000,10342.33,908.393355
1599883200000,10358.95,1037.784227
1599886800000,10358.61,1071.774149
1599890400000,10331.09,1220.337157
1599894000000,10343.98,1246.20161
1599897600000,10333.19,1403.593043
1599901200000,10354.29,1200.134001
1599904800000,10340.49,1219.484768
1599908400000,10341.59,1689.957768
1599912000000,10319.74,1474.834243
1599915600000,10294.01,2094.244947
1599919200000,10347.78,1911.667732
1599922800000,10359.99,2126.786949
1599926400000,10371.39,1211.69024
1599930000000,10377.15,1531.217642
1599933600000,10451.99,3575.991909
1599937200000,10461.39,1798.352018
1599940800000,10438.32,1519.152253
1599944400000,10449.99,1142.09469
1599948000000,10434.97,1108.671435
1599951600000,10440.92,1152.485116
1599955200000,10430.25,1242.532825
1599958800000,10421.94,1399.536382
1599962400000,10428.11,870.614856
1599966000000,10556.26,3034.309233
1599969600000,10539.33,1749.008062
1599973200000,10532.76,1163.399721
1599976800000,10523.53,1082.434299
1599980400000,10542.27,1508.946294
1599984000000,10539.42,1828.810848
1599987600000,10504.01,2017.361144
1599991200000,10452.37,2534.020507
1599994800000,10324.89,4085.393614
1599998400000,10290.05,2829.31224
1600002000000,10322.73,2489.821261
1600005600000,10324.78,1618.648839
1600009200000,10280.14,1712.571848
1600012800000,10257.77,3730.155618
1600016400000,10275.01,2144.266995
1600020000000,10257.34,1115.529287
1600023600000,10309.05,1499.147021
1600027200000,10312.18,1120.897005
1600030800000,10296.87,821.151679
1600034400000,10306.66,901.616714
1600038000000,10332.83,1338.123573
1600041600000,10273.28,1843.16152
1600045200000,10324.2,1112.235665
1600048800000,10348.7,1931.190971
1600052400000,10348.14,1285.516237
1600056000000,10344.96,1472.228956
1600059600000,10337.75,1674.257175
1600063200000,10359.74,1899.515311
1600066800000,10399.32,2064.43318
1600070400000,10359.61,5089.739197
1600074000000,10366.97,2301.656528
1600077600000,10416.06,2605.742222
1600081200000,10469.82,3525.02919
1600084800000,10504.26,3959.139441
1600088400000,10643.64,8730.683907
1600092000000,10631.06,4982.570503
1600095600000,10698.03,4810.386687
1600099200000,10725.2,4931.823505
1600102800000,10683.72,2444.040594
1600106400000,10674.98,2003.237504
1600110000000,10665,1484.127687
1600113600000,10683.99,1805.957525
1600117200000,10717.36,1359.362528
1600120800000,10650.37,2121.805117
1600124400000,10671.77,1621.450211
1600128000000,10680.8,1672.656285
1600131600000,10714.41,1993.300713
1600135200000,10758.24,4096.276012
1600138800000,10755.13,1745.779807
1600142400000,10731.41,1826.755279
1600146000000,10742.04,1295.521768
1600149600000,10736.06,2030.727135
1600153200000,10741.37,1687.789003
1600156800000,10644.14,3093.410205
1600160400000,10693.93,2418.379393
1600164000000,10847.32,3743.276022
1600167600000,10821.15,3766.621196
1600171200000,10907.94,4552.641795
1600174800000,10834.71,3326.42094
1600178400000,10764.19,4382.021477
1600182000000,10784.46,3531.309654
1600185600000,10784.23,3348.735166
1600189200000,10794.84,1931.035921
1600192800000,10784.22,1514.454196
1600196400000,10783.36,1440.870597
1600200000000,10860.01,2698.08277
1600203600000,10858.6,1810.167196
1600207200000,10779.25,2294.305602
1600210800000,10785.31,1621.914654
1600214400000,10717.23,4149.780148
1600218000000,10738.19,1906.960299
1600221600000,10736.3,1779.228315
1600225200000,10779.41,1468.588472
1600228800000,10788.45,1762.266027
1600232400000,10771.74,2024.703254
1600236000000,10835.53,2367.055253
1600239600000,10915.49,3632.950974
1600243200000,10897.6,2787.276892
1600246800000,10865.12,1893.781054
1600250400000,10842.71,3009.761827
1600254000000,10898.99,2232.075597
1600257600000,10925.23,3946.528146
1600261200000,10923,3217.109152
1600264800000,10888.97,2487.180481
1600268400000,11004.99,5206.450394
