time,BUP,MA,BDOWN
1610503200000.0,36540.435,34469.776,32399.117
1610506800000.0,36224.013,34340.021,32456.029
1610510400000.0,36037.816,34210.553,32383.29
1610514000000.0,35765.787,34080.353,32394.919
1610517600000.0,35639.734,34015.098,32390.462
1610521200000.0,35554.926,33993.894,32432.862
1610524800000.0,35479.455,33969.116,32458.777
1610528400000.0,35507.053,34021.744,32536.435
1610532000000.0,35604.99,34096.57,32588.15
1610535600000.0,35632.571,34124.375,32616.179
1610539200000.0,35543.906,34087.756,32631.606
1610542800000.0,35478.349,34065.904,32653.459
1610546400000.0,35370.934,34026.9,32682.866
1610550000000.0,35369.285,34026.34,32683.395
1610553600000.0,35430.197,34051.099,32672.001
1610557200000.0,35445.926,34056.222,32666.518
1610560800000.0,35712.538,34155.03,32597.522
1610564400000.0,36004.168,34252.581,32500.994
1610568000000.0,36201.273,34437.36,32673.447
1610571600000.0,36702.938,34646.131,32589.324
1610575200000.0,37055.943,34854.564,32653.185
1610578800000.0,37434.712,35032.208,32629.704
1610582400000.0,37785.094,35261.152,32737.21
1610586000000.0,37998.769,35467.621,32936.473
1610589600000.0,38196.413,35650.562,33104.711
1610593200000.0,38349.6,35753.474,33157.348
1610596800000.0,38540.697,35902.714,33264.731
1610600400000.0,38688.842,36061.989,33435.136
1610604000000.0,38888.419,36207.7,33526.981
1610607600000.0,39075.898,36398.342,33720.786
1610611200000.0,39224.487,36603.517,33982.547
1610614800000.0,39279.649,36771.648,34263.647
1610618400000.0,39315.188,36982.981,34650.774
1610622000000.0,39316.761,37167.579,35018.397
1610625600000.0,39238.401,37341.32,35444.239
1610629200000.0,39189.794,37549.129,35908.464
1610632800000.0,39384.048,37742.038,36100.028
1610636400000.0,39536.664,37919.226,36301.788
1610640000000.0,39595.596,38072.444,36549.292
1610643600000.0,39767.546,38178.96,36590.374
1610647200000.0,39885.832,38286.006,36686.18
1610650800000.0,40095.208,38411.286,36727.364
1610654400000.0,40188.795,38488.791,36788.787
1610658000000.0,40190.498,38555.258,36920.018
1610661600000.0,40194.314,38632.714,37071.114
1610665200000.0,40131.534,38737.682,37343.83
1610668800000.0,40140.021,38835.126,37530.231
1610672400000.0,40082.664,38917.458,37752.252
1610676000000.0,40051.244,38988.985,37926.726
1610679600000.0,40022.808,39014.068,38005.328
1610683200000.0,40018.742,39016.86,38014.978
1610686800000.0,40041.27,39010.399,37979.528
1610690400000.0,40080.475,38988.194,37895.913
1610694000000.0,40074.56,38993.555,37912.55
1610697600000.0,40072.685,38994.667,37916.649
1610701200000.0,40066.517,38979.752,37892.987
1610704800000.0,39997.471,38922.97,37848.469
1610708400000.0,39941.441,38851.114,37760.787
1610712000000.0,39942.123,38775.323,37608.523
1610715600000.0,39906.018,38688.03,37470.042
1610719200000.0,39964.494,38567.765,37171.036
1610722800000.0,40136.264,38354.452,36572.64
1610726400000.0,40161.595,38196.363,36231.131
1610730000000.0,40228.476,38054.705,35880.934
1610733600000.0,40286.809,37876.352,35465.895
1610737200000.0,40277.794,37679.99,35082.186
1610740800000.0,40101.53,37487.63,34873.73
1610744400000.0,39888.151,37340.546,34792.941
1610748000000.0,39612.562,37207.158,34801.754
1610751600000.0,39421.229,37109.269,34797.309
1610755200000.0,39278.207,37045.952,34813.697
1610758800000.0,39210.435,37005.8,34801.165
1610762400000.0,39090.673,36914.862,34739.051
1610766000000.0,38876.999,36817.854,34758.709
1610769600000.0,38680.682,36732.572,34784.462
1610773200000.0,38355.289,36591.322,34827.355
1610776800000.0,38029.926,36474.849,34919.772
1610780400000.0,37762.963,36398.148,35033.333
1610784000000.0,37691.409,36382.831,35074.253
1610787600000.0,37636.177,36371.072,35105.967
1610791200000.0,37717.431,36394.631,35071.831
1610794800000.0,37881.754,36498.095,35114.436
1610798400000.0,37980.889,36558.398,35135.907
1610802000000.0,38033.466,36618.208,35202.95
1610805600000.0,38035.077,36708.74,35382.403
1610809200000.0,37994.585,36820.977,35647.369
1610812800000.0,37945.927,36902.262,35858.597
1610816400000.0,37931.78,36933.608,35935.436
1610820000000.0,37934.938,36927.856,35920.774
1610823600000.0,37942.427,36909.564,35876.701
1610827200000.0,37916.794,36887.146,35857.498
1610830800000.0,37942.59,36833.076,35723.562
1610834400000.0,37949.611,36827.906,35706.201
1610838000000.0,37974.328,36801.009,35627.69
1610841600000.0,37974.829,36792.103,35609.377
1610845200000.0,37938.218,36835.166,35732.114
1610848800000.0,37920.965,36850.529,35780.093
1610852400000.0,37935.073,36830.636,35726.199
1610856000000.0,37892.886,36749.794,35606.702
1610859600000.0,37863.87,36654.712,35445.554
1610863200000.0,37829.05,36553.719,35278.388
1610866800000.0,37797.151,36407.764,35018.377
1610870400000.0,37773.992,36276.548,34779.104
1610874000000.0,37826.979,36128.211,34429.443
1610877600000.0,37718.381,36007.502,34296.623
1610881200000.0,37499.461,35897.761,34296.061
1610884800000.0,37304.001,35792.424,34280.847
1610888400000.0,37173.515,35691.468,34209.421
1610892000000.0,37093.917,35604.721,34115.525
1610895600000.0,37020.591,35572.325,34124.059
1610899200000.0,36894.064,35532.27,34170.476
1610902800000.0,36885.203,35527.909,34170.615
1610906400000.0,36837.874,35505.787,34173.7
1610910000000.0,36802.486,35487.734,34172.982
1610913600000.0,36748.625,35471.562,34194.499
1610917200000.0,36708.171,35462.928,34217.685
1610920800000.0,36663.503,35451.003,34238.503
1610924400000.0,36613.433,35433.583,34253.733
1610928000000.0,36628.521,35439.42,34250.319
1610931600000.0,36694.069,35468.336,34242.603
1610935200000.0,36718.849,35487.028,34255.207
1610938800000.0,36704.186,35504.296,34304.406
1610942400000.0,36684.784,35524.26,34363.736
1610946000000.0,36570.824,35582.646,34594.468
1610949600000.0,36543.919,35601.519,34659.119
1610953200000.0,36596.999,35643.391,34689.783
1610956800000.0,36654.244,35698.816,34743.388
1610960400000.0,36728.501,35785.455,34842.409
1610964000000.0,36689.799,35858.786,35027.773
1610967600000.0,36760.573,35894.466,35028.359
1610971200000.0,36935.403,35948.033,34960.663
1610974800000.0,37042.304,35994.51,34946.716
1610978400000.0,37088.248,36033.062,34977.876
1610982000000.0,37122.097,36071.666,35021.235
1610985600000.0,37128.811,36077.232,35025.653
1610989200000.0,37076.548,36033.848,34991.148
1610992800000.0,37059.736,36012.571,34965.406
1610996400000.0,37063.102,36018.947,34974.792
1611000000000.0,37070.326,36025.877,34981.428
1611003600000.0,37075.816,36029.506,34983.196
1611007200000.0,37120.512,36064.776,35009.04
1611010800000.0,37126.8,36141.026,35155.252
1611014400000.0,37113.662,36218.266,35322.87
1611018000000.0,37147.642,36297.163,35446.684
1611021600000.0,37088.99,36377.596,35666.202
1611025200000.0,37096.64,36395.63,35694.62
1611028800000.0,37097.185,36398.206,35699.227
1611032400000.0,37078.902,36382.034,35685.166
1611036000000.0,37099.857,36401.18,35702.503
1611039600000.0,37212.365,36437.518,35662.671
1611043200000.0,37258.482,36448.334,35638.186
1611046800000.0,37301.838,36461.996,35622.154
1611050400000.0,37381.085,36495.041,35608.997
1611054000000.0,37484.168,36538.066,35591.964
1611057600000.0,37505.203,36567.96,35630.717
1611061200000.0,37505.617,36638.322,35771.027
1611064800000.0,37478.705,36700.157,35921.609
1611068400000.0,37514.311,36768.82,36023.329
1611072000000.0,37554.775,36831.985,36109.195
1611075600000.0,37554.427,36880.205,36205.983
1611079200000.0,37552.398,36881.702,36211.006
1611082800000.0,37577.226,36864.129,36151.032
1611086400000.0,37585.263,36852.098,36118.933
1611090000000.0,37581.124,36828.587,36076.05
1611093600000.0,37577.361,36820.022,36062.683
1611097200000.0,37638.409,36791.332,35944.255
1611100800000.0,37636.456,36792.798,35949.14
1611104400000.0,37650.035,36785.503,35920.971
1611108000000.0,37674.503,36759.57,35844.637
1611111600000.0,37809.787,36654.254,35498.721
1611115200000.0,37834.404,36556.936,35279.468
1611118800000.0,37818.194,36478.793,35139.392
1611122400000.0,37792.001,36386.41,34980.819
1611126000000.0,37683.942,36306.942,34929.942
1611129600000.0,37645.943,36241.606,34837.269
1611133200000.0,37608.555,36127.572,34646.589
1611136800000.0,37559.211,36014.03,34468.849
1611140400000.0,37437.791,35868.869,34299.947
1611144000000.0,37222.412,35736.447,34250.482
1611147600000.0,36995.151,35626.255,34257.359
1611151200000.0,36889.549,35544.953,34200.357
