adx,DI_plus,DI_minus
0,0,0
0,0,0
0.0,0.0,43.16
0.0,0.0,25.86
0.0,0.0,22.79
0.0,13.37,17.45
0.0,10.34,18.27
0.0,8.4,24.23
0.0,13.74,20.47
0.0,16.37,16.3
0.0,34.33,11.89
0.0,28.39,9.83
0.0,30.46,8.73
0.0,32.48,7.15
0.0,28.99,6.28
0.0,31.88,5.28
52.46,29.91,4.73
47.76,26.55,13.05
43.05,24.73,12.16
44.69,24.14,11.31
45.5,23.56,10.33
43.36,18.72,27.25
43.5,16.56,25.75
45.04,15.69,24.38
43.35,14.78,24.55
43.06,12.91,33.66
42.39,11.72,31.72
40.75,11.83,28.24
39.07,11.32,27.02
36.27,12.7,24.87
33.63,11.84,24.99
32.36,16.23,22.54
31.09,15.26,21.19
29.5,15.03,19.94
28.09,14.29,21.11
28.02,14.12,20.12
28.68,12.62,23.93
29.34,11.82,22.42
29.78,11.3,21.44
30.99,8.66,36.36
32.37,7.76,37.05
33.96,7.94,35.19
35.57,7.55,33.87
37.95,7.01,33.89
39.52,8.53,31.83
42.49,8.14,30.4
45.67,7.73,31.79
48.69,8.26,29.58
51.94,7.35,34.34
55.31,6.64,30.99
57.64,6.63,29.77
55.97,26.54,22.79
54.3,24.3,20.87
50.45,23.27,19.98
46.53,23.21,18.81
45.39,38.86,13.94
44.22,36.23,12.99
42.73,33.81,12.89
41.81,32.36,12.33
40.99,31.65,11.6
40.52,35.05,10.42
38.67,29.55,15.76
36.22,27.97,14.92
34.46,31.56,13.48
33.33,33.81,11.95
36.2,32.09,11.34
37.84,29.79,15.87
39.73,30.58,15.0
40.64,27.97,17.47
38.78,26.19,17.04
37.97,32.13,15.13
37.34,29.92,14.08
35.99,28.5,16.77
34.53,27.46,16.16
32.55,27.24,15.83
32.53,27.94,15.0
32.65,27.95,14.37
32.18,27.73,13.81
30.85,26.17,14.35
29.52,25.12,13.77
29.25,23.89,13.82
28.44,22.39,14.09
28.12,21.24,14.53
27.06,19.4,17.1
24.94,18.51,16.32
22.93,18.42,15.74
22.1,19.87,14.91
21.27,19.09,14.32
21.94,26.42,12.47
23.09,27.56,10.11
24.11,25.51,9.36
25.02,24.29,8.91
