time,high,low,open,close,volume
1632988800000,43446.77,42784.83,43286.88,43062.03,131985418.78
1632992400000,43307.85,42975.36,43062.03,43147.37,63917986.89
1632996000000,43298.36,42697.01,43147.37,42826.78,70423802.46
1632999600000,43127.97,42767.74,42826.78,43072.29,51760621.67
1633003200000,43777,43006.78,43072.29,43419.53,136077591.06
1633006800000,43580,43066.17,43419.53,43081.77,98515505.96
1633010400000,43208.51,42850,43081.77,43118.64,89966931.46
1633014000000,43499,42935.66,43118.64,43149.02,90330574.33
1633017600000,43218,42819.86,43149.02,42950.67,68881282.36
1633021200000,43400,42906.69,42950.67,43333.12,86023788.32
1633024800000,44044.23,43261.84,43333.12,43994.08,132125212.8
1633028400000,44141.37,43525,43994.08,43532.31,84034809.08
1633032000000,43772.47,43100,43532.31,43435.08,61971596.04
1633035600000,43799.93,43375.1,43435.08,43754,40120496.5
1633039200000,43915.89,43631.14,43754,43741.7,45713001.94
1633042800000,43900,43590,43741.7,43824.1,38653672.45
1633046400000,44059,43661.63,43824.1,43694.48,87792530.45
1633050000000,43803.94,43417.61,43694.48,43742.74,56338648.3
1633053600000,43794.89,43283.03,43742.74,43379.01,58684290.14
1633057200000,43680,43352.28,43379.01,43635.79,43228225.15
1633060800000,43715.71,43456.46,43635.79,43625.02,42816443.82
1633064400000,43923.21,43515.61,43625.02,43850.33,52088456.25
1633068000000,44048.56,43729,43850.33,43995.09,67516793.91
1633071600000,44836,43916.26,43995.09,44788.42,213258855.49
1633075200000,44999,44700,44788.42,44945.8,132467725.98
1633078800000,45000,44767.29,44945.8,44906,81267694.06
1633082400000,47786.7,44829.4,44906,47081.46,572013095.17
1633086000000,47659.32,46957.48,47081.46,47488.08,220975313.93
1633089600000,47886.11,47170.23,47488.08,47214.37,244916137.36
1633093200000,47379.99,46957.14,47214.37,46980.94,122493667.1
1633096800000,47347.53,46763.68,46980.94,47130,163679194.61
1633100400000,47490.71,47039.94,47130,47363.68,166340371.72
1633104000000,47850,47232.98,47363.68,47559.88,136929179.67
1633107600000,47700,47397.01,47559.88,47617.29,68107302.23
1633111200000,47928,47437.86,47617.29,47724.18,86347518.25
1633114800000,48190,47705.68,47724.18,48030,109043153.46
1633118400000,48183.17,47721.74,48030,48090.42,83103242.1
1633122000000,48430,48062.59,48090.42,48344.93,99872948.24
1633125600000,48495,47710.01,48344.93,48001,120343372.87
1633129200000,48171.37,47910.36,48001,48141.61,46470726.32
1633132800000,48224.01,47610.76,48141.61,47817.73,105854129.23
1633136400000,48113.68,47692.51,47817.73,47736.82,67439126.06
1633140000000,47880.6,47634.94,47736.82,47708.51,53995571.15
1633143600000,47790,47443.98,47708.51,47520.84,65973448.21
1633147200000,47716.9,47430.18,47520.84,47569.92,73529587.06
1633150800000,47853.15,47510.18,47569.92,47749.32,44888910.26
1633154400000,47900,47662.1,47749.32,47801.94,43373678.93
1633158000000,47865.96,47705.04,47801.94,47725.01,49694711.74
1633161600000,47774.84,47516.56,47725.01,47723.91,46440740.6
1633165200000,47899.01,47666,47723.91,47708.43,39288427.16
1633168800000,47762.29,47530.24,47708.43,47606.05,35687958.86
1633172400000,47734.94,47478.44,47606.05,47683.45,44003226.86
1633176000000,47785,47616.8,47683.45,47729.23,47053601.1
1633179600000,48336.59,47630.1,47729.23,47825.16,148044514.86
1633183200000,48123.44,47790.43,47825.16,48019.26,88317037.4
1633186800000,48054.48,47810,48019.26,47828.52,55663574.23
1633190400000,48016.21,47650,47828.52,48004.69,82706895.32
1633194000000,48064.25,47826.19,48004.69,47879.99,45526245.94
1633197600000,47928.35,47720,47879.99,47864.02,43249359.86
1633201200000,48267,47864.01,47864.02,48239.99,67451735.14
1633204800000,48269.39,47874.98,48239.99,47996.24,55074899.32
1633208400000,48167.58,47988.77,47996.24,48125.9,27493176.97
1633212000000,48300,48045.16,48125.9,48049.34,43582263.76
1633215600000,48184,47500,48049.34,47634.9,84732060.5
1633219200000,47808.19,47088,47634.9,47272.06,107904189.39
1633222800000,47609.88,47223.27,47272.06,47516.37,56283615.46
1633226400000,47769.99,47500,47516.37,47620.36,44849333.91
1633230000000,47963,47534.34,47620.36,47898.66,39409900.78
1633233600000,47963,47788.34,47898.66,47890.78,30334656.23
1633237200000,48100,47860.11,47890.78,47990.14,35315833.78
1633240800000,48057,47896.93,47990.14,47972.99,29608213.04
1633244400000,47972.99,47814,47972.99,47895.99,27261247.08
1633248000000,47983.38,47798.5,47895.99,47823.99,40148139.81
1633251600000,47869,47600,47823.99,47830.09,71100989.05
1633255200000,47953.2,47730,47830.09,47812.32,29916774.34
1633258800000,48048,47778.05,47812.32,47974.86,46637893.45
1633262400000,48090,47808.14,47974.86,47964.43,38615673.83
1633266000000,48150,47841,47964.43,48052.5,55117267.02
1633269600000,48105.6,47892.99,48052.5,47965.64,47872047.14
1633273200000,48025.31,47799.18,47965.64,47879.82,59958482.66
1633276800000,48067.69,47821.96,47879.82,48034.99,44951175.84
1633280400000,49228.08,47943.09,48034.99,48910.24,202840801.7
1633284000000,49176.32,48541.33,48910.24,48822.03,123261369.5
1633287600000,48960.98,48725,48822.03,48774.76,47752637.17
1633291200000,48837.88,48400.59,48774.76,48425.02,63843395.19
1633294800000,48455.11,47601.89,48425.02,47758.21,125365742.34
1633298400000,48200,47700,47758.21,47984.94,64681822.98
1633302000000,48320,47874,47984.94,48200.01,49733260.5
1633305600000,48280.71,47840,48200.01,47860.89,76559657.62
1633309200000,48181.91,47714.27,47860.89,47810.39,63233496.64
1633312800000,47883.91,47581.42,47810.39,47678.16,64612470.14
1633316400000,47798.2,47336,47678.16,47468.79,76920833.18
1633320000000,47844.1,47234.21,47468.79,47751.99,86962699.51
1633323600000,47865.51,47716.86,47751.99,47777.05,37279179.45
1633327200000,47825,47550.77,47777.05,47710,47507460.18
1633330800000,47860.63,47589.99,47710,47838.54,46414657.04
1633334400000,47962.51,47471.5,47838.54,47656.49,64756520.48
1633338000000,47759.42,47525,47656.49,47732.22,45137611.58
1633341600000,47756.1,47486.15,47732.22,47626.97,46760754.52
1633345200000,47679.36,47352.77,47626.97,47585.85,65339136.62
1633348800000,47819.43,47448.39,47585.85,47707.37,66769269.79
1633352400000,48179.58,47667.59,47707.37,48116.29,101986736.88
1633356000000,48500,47250,48116.29,47450.66,191436294.82
1633359600000,47799.98,46891,47450.66,47758.23,154569765.58
1633363200000,48930,47694.41,47758.23,48589.99,212272458.89
1633366800000,49500,48203.66,48589.99,49296.44,224411934.23
1633370400000,49536.12,49001.25,49296.44,49318,127379049.92
1633374000000,49454.9,48904.28,49318,49380,126114191.08
1633377600000,49498.78,48981.24,49380,49006.15,107966985.91
1633381200000,49166.09,48556.09,49006.15,48931.03,72860020.16
1633384800000,49041.24,48688.83,48931.03,48916.29,52067448.18
1633388400000,49451,48895.11,48916.29,49224.94,99145728.72
1633392000000,49799,49022.4,49224.94,49531,142218151.02
1633395600000,49597.38,49163.68,49531,49243.03,73723529.81
1633399200000,49380.84,49050.36,49243.03,49324.82,62011078.57
1633402800000,49497,49123.87,49324.82,49306.68,60960046.31
1633406400000,49319.48,49088,49306.68,49168.31,48875470.27
1633410000000,49412.88,49138.78,49168.31,49325,53764177.85
1633413600000,49473.81,49252.07,49325,49295.92,64201844.86
1633417200000,49664.14,49250.87,49295.92,49476.51,79410020.73
1633420800000,50000,49376.06,49476.51,49919.99,126539937.99
1633424400000,50328,49584.4,49919.99,50269.35,186203670.56
1633428000000,50350,49839.26,50269.35,49999.99,121033649.76
1633431600000,50145.88,49801.74,49999.99,49877.06,80586134.61
1633435200000,50110,49705,49877.06,50000,107901312.05
1633438800000,50320,49772.63,50000,50207.96,105540200.77
1633442400000,50388,49575.94,50207.96,49841.79,166530989.02
1633446000000,50205.21,49700,49841.79,49793.57,119592923.05
1633449600000,50115.24,49640.36,49793.57,50103.85,80651857.52
1633453200000,50200,49950,50103.85,50146.52,74983830.48
1633456800000,50777,50140.01,50146.52,50612.44,160136982.5
1633460400000,51388,50557.89,50612.44,51190.11,208740678.79
1633464000000,51773.76,51104.47,51190.11,51462.29,177212447.8
1633467600000,51886.3,51299.06,51462.29,51718.61,149371647.91
1633471200000,51775.42,51318.24,51718.61,51349.86,99318595.87
1633474800000,51620.37,51343.06,51349.86,51471.99,68592650.93
1633478400000,51539.3,51201.05,51471.99,51321.61,96187857.31
1633482000000,51330.96,50917.73,51321.61,51278.38,88566896.91
1633485600000,51591.82,51152,51278.38,51545.56,79464481.2
1633489200000,51600,51295.32,51545.56,51513.81,88358711.19
1633492800000,51593.52,51236.7,51513.81,51325.83,91926499.6
1633496400000,51828,51200.56,51325.83,51512.37,197981653.49
1633500000000,51736.11,51450.85,51512.37,51509.98,92666125.29
1633503600000,51575.1,51088,51509.98,51449.99,129216184.35
1633507200000,51500,50420,51449.99,50693.51,238739672.29
1633510800000,50822,50382.41,50693.51,50700,167413468.92
1633514400000,51478,50619.1,50700,51160.35,187899254.07
1633518000000,51490,51091.3,51160.35,51306.56,147033063.98
1633521600000,52829,51259.84,51306.56,52741.68,375179030.39
1633525200000,55555,52610.2,52741.68,53997,707863186.62
1633528800000,54550,53750,53997,54500.4,250689839.88
1633532400000,55156.97,54250.04,54500.4,54984.19,240389311.47
1633536000000,55054.87,54446.54,54984.19,54891.32,187730238.07
1633539600000,54917.9,54517.01,54891.32,54581.22,119495925.11
1633543200000,55109.67,54446.54,54581.22,54527.82,163446368.15
1633546800000,55078.01,54483.85,54527.82,55049.99,112786036.77
1633550400000,55386.86,54812,55049.99,54918.24,141234536.19
