adx,DI_plus,DI_minus
0,0,0
0,0,0
0.0,3.04,0.0
0.0,1.26,13.56
0.0,0.96,10.27
0.0,0.7,19.67
0.0,0.57,16.95
0.0,4.02,14.56
0.0,4.7,13.56
0.0,4.01,24.58
0.0,3.42,27.33
0.0,3.12,24.91
0.0,7.33,22.1
0.0,7.54,19.96
0.0,6.95,20.88
0.0,6.15,24.34
68.7,5.1,30.98
65.55,10.93,24.76
60.81,15.92,22.28
55.35,14.86,20.8
49.69,14.65,19.51
48.18,32.28,15.35
47.25,29.53,14.04
44.79,28.06,12.75
40.99,25.12,15.24
37.18,22.92,13.91
35.34,21.3,12.93
33.87,19.82,12.03
31.36,18.52,13.7
28.6,19.84,12.95
27.36,34.26,10.14
28.72,34.66,9.25
31.44,33.21,9.74
34.19,32.09,9.26
37.23,31.46,8.67
38.79,30.11,8.15
37.96,26.22,16.13
35.91,23.47,19.67
36.23,18.23,33.14
36.8,16.65,32.56
37.71,14.88,32.57
38.63,14.14,30.96
40.61,12.9,32.14
42.89,11.4,37.1
42.8,10.44,33.96
42.45,9.94,32.36
41.09,13.97,29.42
39.69,13.45,28.32
38.0,13.62,27.09
36.26,13.19,26.24
36.38,14.81,24.96
38.49,13.02,29.2
39.15,12.17,27.28
38.18,17.54,25.61
36.85,16.79,24.51
35.81,15.92,25.3
34.33,15.28,23.91
31.72,16.3,22.72
28.08,20.11,20.9
26.78,14.61,30.23
26.72,13.85,28.65
25.18,19.97,26.45
22.94,23.24,24.06
21.12,25.88,22.24
21.58,36.3,18.68
21.34,35.22,16.99
21.27,34.47,15.74
22.96,35.38,14.29
24.66,33.03,13.34
25.44,31.27,15.52
26.27,30.04,14.91
27.73,30.43,14.05
30.29,29.53,13.33
29.7,26.26,15.24
28.71,24.5,15.98
29.47,24.96,15.11
31.46,25.64,13.94
34.21,32.69,12.09
35.2,31.31,11.57
35.32,28.99,13.49
35.26,27.45,12.78
34.33,25.97,14.16
33.61,26.25,13.39
31.46,22.45,20.89
29.32,20.85,19.4
29.0,31.4,16.05
28.75,29.76,14.57
29.71,31.03,13.28
31.07,28.9,12.37
30.45,25.69,18.6
29.48,24.26,17.57
26.63,21.88,19.36
