adx,DI_plus,DI_minus
11.0,17.62,20.14
11.29,24.04,18.25
11.45,22.5,17.08
10.41,21.57,16.37
8.88,20.06,17.53
8.37,19.45,17.0
7.86,19.39,16.32
7.25,17.86,20.59
7.21,16.73,19.29
7.06,18.24,17.94
7.06,18.29,17.2
7.22,18.8,16.48
8.17,21.22,14.88
9.26,19.97,14.01
10.27,20.13,13.19
9.54,18.54,17.32
8.8,17.57,16.41
8.45,16.01,19.09
9.73,13.92,23.01
11.01,13.4,22.15
11.34,15.52,20.29
11.74,15.2,19.59
11.93,15.27,18.61
12.51,15.16,18.13
14.07,13.79,22.97
15.03,14.26,21.38
14.81,15.4,20.62
14.85,14.92,21.55
14.82,14.24,21.52
14.91,18.38,20.18
15.09,20.98,18.64
15.22,21.88,17.68
14.35,21.42,16.69
13.12,19.61,16.91
12.22,17.81,18.05
11.36,17.06,17.29
14.07,36.74,13.01
17.73,42.19,10.48
20.25,38.42,9.51
23.38,38.7,8.56
27.75,48.74,6.77
31.85,44.8,6.22
35.97,44.39,5.45
41.22,41.09,5.05
41.13,29.77,27.13
40.41,24.77,25.04
39.92,25.61,22.89
39.8,23.76,21.24
40.52,24.98,20.12
41.65,26.43,18.93
39.56,26.49,18.27
36.27,25.49,19.15
33.67,28.57,17.53
31.85,34.92,15.62
29.17,33.25,14.87
27.1,36.49,13.31
24.84,33.2,12.11
22.59,30.64,11.18
24.63,27.85,13.97
27.08,27.04,13.07
29.34,26.73,12.22
31.27,25.18,12.79
31.98,23.44,15.36
30.86,20.89,20.56
29.63,18.65,19.06
29.03,17.16,19.31
28.07,15.97,19.68
26.08,15.27,18.8
24.24,21.79,16.95
21.88,21.49,16.38
18.56,20.14,20.17
15.9,18.27,22.01
14.5,17.05,22.42
12.56,17.92,20.89
9.96,19.32,19.64
7.69,18.65,18.96
6.32,18.78,18.16
6.89,17.78,21.18
7.23,17.63,19.86
9.14,14.87,29.21
10.78,13.34,26.71
13.51,11.22,32.49
17.21,8.78,40.3
20.83,7.89,36.2
24.46,11.0,33.77
27.42,10.39,31.9
28.8,15.26,30.17
30.57,14.68,28.77
33.45,13.43,32.22
36.4,12.56,30.84
39.29,12.12,29.77
40.96,14.4,28.07
42.84,13.7,26.71
43.15,12.92,27.98
43.39,12.36,26.78
41.46,16.01,24.86
37.12,21.59,23.1
32.77,20.56,22.0
29.33,19.77,20.86
27.27,17.51,27.35
27.17,15.94,30.6
27.53,14.15,31.13
27.27,12.72,27.98
26.86,12.5,26.8
26.04,13.45,25.33
25.36,15.12,24.0
24.77,14.38,23.4
23.66,14.54,22.43
22.0,16.34,21.47
21.64,15.64,21.86
21.68,18.01,19.5
21.73,17.3,18.73
21.79,18.52,17.24
20.69,18.71,16.41
19.91,23.18,15.25
19.61,27.57,13.8
19.31,25.8,12.91
19.09,24.58,12.3
19.7,26.42,11.55
20.76,24.86,11.29
20.84,22.98,13.78
21.1,21.87,13.12
22.09,22.23,12.65
22.56,21.08,13.16
25.77,32.52,11.16
28.98,29.38,10.08
32.22,28.17,9.67
34.16,25.87,12.82
34.35,23.69,14.75
32.38,21.13,18.83
30.41,19.82,17.66
29.39,23.99,16.34
27.95,22.57,15.38
26.38,21.07,15.38
25.21,20.04,16.87
24.36,20.66,15.88
23.78,21.97,14.84
23.51,20.93,14.14
21.7,22.06,13.65
20.53,24.16,12.29
20.02,24.84,10.22
20.82,24.98,9.5
22.36,23.51,8.94
25.7,26.3,8.18
29.34,27.34,7.58
32.02,25.88,7.17
34.23,24.43,8.19
37.21,28.19,7.62
40.7,26.92,7.28
43.99,26.82,6.88
45.66,25.0,10.05
47.32,23.53,9.46
47.52,21.26,12.41
47.29,21.49,11.72
46.41,20.3,11.07
45.91,22.52,10.16
45.76,23.78,9.51
45.34,24.78,9.02
44.87,25.52,8.52
44.72,26.43,7.77
45.51,30.13,7.33
45.96,30.84,6.84
42.26,21.86,24.45
38.43,19.15,21.42
35.79,17.98,20.12
33.26,21.64,18.71
32.01,20.98,17.59
30.14,19.26,20.53
28.24,18.13,19.18
26.93,16.58,24.63
26.39,14.19,29.63
25.57,12.91,26.97
23.76,15.46,25.56
21.86,14.63,25.93
19.79,13.53,26.2
16.79,15.85,24.67
17.94,15.21,23.68
18.49,16.7,21.79
19.14,25.75,19.16
20.06,26.7,17.71
21.13,26.94,16.62
22.37,25.25,16.63
23.64,24.22,15.95
22.33,20.85,21.36
19.9,19.21,19.68
17.47,18.37,18.82
17.0,16.78,24.18
16.3,15.9,22.91
16.22,14.27,26.99
17.05,12.98,26.0
16.9,16.31,24.3
17.16,16.8,23.56
17.77,15.7,25.2
18.22,15.05,25.99
