unix,high,low,open,close,Volume
1599858000000,25.25,24.9587,25.1725,25.1632,160468.4
1599861600000,25.6,25.1624,25.173,25.5679,348087.14
1599865200000,25.6969,25.1993,25.5712,25.399,383188.05
1599868800000,26.35,25.3575,25.4,25.8379,629394.28
1599872400000,26.231,25.6602,25.8384,26.1706,331763.27
1599876000000,26.5695,25.8232,26.155,26.4192,442697.73
1599879600000,26.6552,26.2188,26.4262,26.5972,363262.83
1599883200000,26.8679,26.1727,26.6012,26.2602,355186.13
1599886800000,26.6593,25.976,26.2608,26.4295,330958.96
1599890400000,26.5653,26.2021,26.4278,26.2293,164468.56
1599894000000,26.7628,26.0624,26.2288,26.6568,266904.55
1599897600000,26.8678,26.2628,26.6563,26.7984,257678.36
1599901200000,27.6,26.7259,26.7982,27.56,557481.62
1599904800000,27.9995,27.255,27.5677,27.3421,385889.48
1599908400000,27.7597,27.3283,27.3497,27.6406,281855.27
1599912000000,27.75,26.7,27.6406,26.9149,381136.7
1599915600000,27.2494,26.6755,26.9148,26.9964,231454.34
1599919200000,27.6419,26.9802,26.9964,27.5969,287352.93
1599922800000,27.6656,27.3815,27.5978,27.5058,209198.88
1599926400000,27.5257,27.0619,27.5146,27.2571,153064.9
1599930000000,27.2888,26.9102,27.2571,27.2498,116704.04
1599933600000,27.8,27.1668,27.2497,27.6149,172376
1599937200000,27.6999,27.4309,27.6085,27.655,71242.43
1599940800000,28,27.565,27.665,27.6957,160133.63
1599944400000,28.528,27.5701,27.6949,28.528,165121.21
1599948000000,28.5305,28.0253,28.528,28.2436,113995.53
1599951600000,28.527,28.0816,28.2375,28.505,109358.2
1599955200000,29.5,28.12,28.5044,29.2047,500590.39
1599958800000,30.1253,28.9001,29.2169,29.9871,463927.05
1599962400000,30.28,29.49,29.9999,29.9623,413677.85
1599966000000,32.1,29.9242,29.9661,31.3748,1059712.58
1599969600000,31.5173,30.6225,31.3748,30.6999,473704.5
1599973200000,31.11,30.2738,30.6998,30.856,304274.82
1599976800000,31.2342,30.4146,30.868,30.5124,256895.22
1599980400000,31.6093,30.5133,30.5133,31.243,346965.99
1599984000000,31.8369,30.8348,31.235,31.8097,338340.28
1599987600000,32.4401,31.43,31.8089,31.6564,583072.45
1599991200000,31.6563,30.5242,31.6563,30.8522,526404.41
1599994800000,31.2523,27.61,30.8644,29.1989,859915.98
1599998400000,30,28.8954,29.1938,29.5186,601406.34
1600002000000,31.1685,29.25,29.5197,30.8976,474206.23
1600005600000,31.171,29.9234,30.9099,30.3131,488205.07
1600009200000,30.8084,29.5289,30.3174,29.7802,465472.34
1600012800000,30.6651,29,29.7827,30.4473,694232.85
1600016400000,30.5206,29.7363,30.4585,30.2595,317344.09
1600020000000,30.3797,29.8,30.2679,29.8732,130880.78
1600023600000,30.6453,29.71,29.8744,30.3749,248449.76
1600027200000,31.16,30.047,30.3704,30.9346,386716.97
1600030800000,31.4164,30.5212,30.9457,30.8779,226917.85
1600034400000,31.2187,30.411,30.8807,31.0138,226356.36
1600038000000,31.1657,30.5371,31.0101,31.1656,258545.5
1600041600000,31.1656,29.2865,31.1656,29.617,381370.59
1600045200000,29.8193,29,29.614,29.8163,285197.26
1600048800000,29.9782,29.4639,29.8124,29.5126,190799.34
1600052400000,30.54,29.2,29.544,30.0174,317016.93
1600056000000,30.1734,29.7023,30.005,30.0714,172920.76
1600059600000,30.33,29.8,30.0727,30.2199,132408.52
1600063200000,30.3654,29.7653,30.2055,29.9777,248606.68
1600066800000,30.3763,29.8237,29.9715,30.271,156794.77
1600070400000,31.87,30.0355,30.2914,31.1096,613952.7
1600074000000,32.3,31.0816,31.1218,32.0259,644718.69
1600077600000,32.5463,31.5355,32.0077,32.4889,515505.65
1600081200000,32.988,32.2391,32.4896,32.7131,451561.76
1600084800000,32.8,31.888,32.7131,32.4667,369930.01
1600088400000,32.7444,31.8,32.4753,31.9254,381694.39
1600092000000,32.5858,31.8,31.9177,32.458,374149.89
1600095600000,33.3888,32.3853,32.4491,33.2652,499798.68
1600099200000,33.2992,32.2613,33.2673,32.4039,519049.26
1600102800000,32.492,30.1305,32.4039,30.617,1105506.72
1600106400000,31.2825,30.478,30.6058,30.9452,396092.77
1600110000000,30.9897,30.3701,30.9452,30.7904,151927.19
1600113600000,31.339,30.774,30.8049,31.065,159895.34
1600117200000,31.1897,30.6521,31.0761,31,124037.85
1600120800000,31,30.52,31,30.6603,150900.17
1600124400000,31.4779,29.3366,30.6564,31.2523,695808.4
1600128000000,31.278,30.01,31.2546,30.5,374352.28
1600131600000,30.5269,29.4679,30.4965,29.6662,418023.297
1600135200000,30.3464,29.3996,29.6771,29.7023,507487.687
1600138800000,29.8181,28.5149,29.7186,29.1761,698284.426
1600142400000,29.194,27.9697,29.194,28.9824,618842.988
1600146000000,29.4,28.5601,28.9824,28.651,424474.109
1600149600000,29.0787,28.2403,28.6549,29.0253,306120.099
1600153200000,29.0247,28.2765,29.0218,28.3928,231106.306
1600156800000,29.3075,28.2255,28.4193,28.7416,705630.065
1600160400000,29.6481,28.63,28.7329,29.6481,272597.831
1600164000000,29.6584,28.8783,29.6489,29.5445,319444.613
1600167600000,29.7413,28.8541,29.556,29.0659,350669.496
1600171200000,29.3377,29.03,29.0646,29.1714,170418.318
1600174800000,29.2212,28.67,29.1701,28.8951,254531.747
