adx,DI_plus,DI_minus
20.9,0.23,0.39
21.82,0.22,0.36
23.38,0.2,0.44
22.66,0.26,0.41
21.06,0.26,0.38
21.64,0.24,0.35
23.13,0.22,0.38
24.88,0.2,0.38
25.17,0.25,0.35
24.13,0.35,0.33
22.54,0.38,0.3
20.52,0.35,0.31
19.94,0.36,0.28
19.08,0.34,0.27
18.0,0.31,0.25
16.91,0.29,0.23
14.37,0.27,0.26
13.49,0.25,0.3
12.82,0.23,0.28
12.81,0.21,0.31
12.66,0.2,0.32
11.02,0.26,0.3
10.12,0.26,0.28
10.71,0.24,0.3
11.47,0.22,0.35
13.04,0.21,0.38
14.27,0.19,0.35
14.82,0.23,0.33
14.99,0.24,0.3
15.37,0.22,0.3
16.54,0.2,0.29
16.17,0.3,0.27
15.81,0.28,0.25
14.78,0.26,0.23
13.17,0.24,0.25
13.18,0.26,0.23
14.01,0.29,0.21
14.06,0.27,0.21
13.04,0.25,0.21
11.31,0.23,0.21
10.3,0.27,0.2
9.91,0.25,0.19
9.3,0.23,0.21
8.28,0.21,0.21
7.07,0.2,0.19
7.3,0.21,0.18
7.54,0.2,0.17
7.48,0.18,0.2
8.52,0.17,0.23
8.32,0.2,0.22
7.48,0.18,0.2
7.94,0.17,0.25
8.75,0.16,0.24
10.65,0.15,0.29
12.81,0.14,0.37
15.74,0.13,0.43
18.17,0.18,0.4
20.62,0.18,0.37
23.55,0.16,0.4
26.59,0.15,0.47
28.9,0.18,0.43
32.0,0.17,0.48
34.43,0.16,0.48
38.39,0.15,0.6
42.35,0.14,0.56
46.13,0.13,0.82
50.23,0.12,0.95
51.19,0.33,0.89
51.18,0.31,0.83
50.9,0.29,0.86
51.03,0.35,0.8
50.95,0.37,0.75
49.59,0.43,0.69
46.99,0.48,0.64
44.97,0.47,0.6
42.24,0.46,0.55
39.39,0.43,0.52
36.31,0.4,0.56
32.78,0.42,0.52
28.64,0.39,0.52
23.32,0.5,0.48
20.53,0.5,0.44
17.89,0.49,0.41
15.2,0.48,0.38
13.25,0.45,0.35
11.0,0.42,0.4
9.66,0.4,0.37
8.79,0.37,0.39
8.28,0.35,0.38
9.03,0.32,0.48
9.99,0.3,0.48
9.6,0.36,0.45
9.67,0.33,0.42
10.11,0.31,0.47
11.42,0.29,0.43
12.81,0.26,0.45
12.95,0.34,0.42
12.85,0.31,0.39
12.02,0.35,0.36
12.19,0.33,0.36
12.6,0.3,0.37
13.27,0.28,0.35
12.95,0.33,0.33
12.04,0.35,0.3
10.83,0.32,0.28
10.11,0.3,0.29
9.69,0.28,0.31
8.65,0.26,0.29
7.97,0.24,0.3
6.93,0.22,0.27
8.23,0.2,0.37
9.92,0.19,0.39
11.9,0.2,0.36
13.01,0.22,0.33
13.28,0.23,0.31
13.15,0.24,0.29
14.15,0.22,0.29
14.87,0.2,0.28
14.71,0.29,0.26
15.54,0.32,0.25
16.59,0.34,0.23
18.08,0.37,0.21
18.59,0.34,0.24
19.14,0.32,0.22
17.18,0.3,0.29
14.83,0.28,0.27
13.62,0.32,0.25
12.97,0.29,0.23
13.32,0.32,0.22
13.66,0.29,0.22
12.94,0.27,0.25
12.11,0.25,0.28
11.88,0.25,0.26
11.03,0.24,0.24
11.32,0.22,0.36
11.46,0.2,0.37
13.17,0.19,0.47
15.47,0.18,0.55
16.98,0.33,0.51
18.49,0.3,0.48
20.08,0.28,0.57
21.69,0.26,0.53
22.43,0.27,0.49
23.7,0.25,0.48
26.27,0.23,0.55
29.3,0.22,0.61
31.22,0.32,0.57
32.21,0.39,0.53
31.36,0.39,0.49
30.19,0.36,0.46
28.09,0.33,0.43
25.39,0.31,0.4
25.29,0.29,0.44
24.17,0.36,0.4
22.55,0.33,0.41
21.3,0.31,0.43
19.97,0.32,0.39
18.04,0.33,0.37
15.15,0.34,0.34
11.8,0.32,0.32
10.35,0.3,0.35
10.01,0.27,0.34
9.86,0.25,0.31
10.56,0.24,0.37
10.44,0.28,0.34
10.27,0.26,0.32
9.36,0.25,0.3
9.03,0.28,0.27
8.6,0.28,0.25
8.03,0.28,0.24
7.67,0.26,0.23
7.65,0.24,0.22
8.01,0.22,0.25
8.02,0.23,0.23
8.01,0.21,0.24
7.83,0.19,0.23
8.78,0.18,0.29
8.15,0.21,0.27
7.85,0.22,0.25
8.02,0.31,0.23
8.86,0.33,0.22
9.17,0.3,0.27
9.24,0.28,0.25
8.86,0.26,0.28
8.68,0.24,0.26
9.46,0.33,0.24
10.46,0.33,0.22
11.71,0.3,0.21
12.75,0.3,0.19
13.55,0.28,0.19
12.76,0.26,0.2
13.23,0.28,0.19
14.77,0.31,0.18
16.35,0.34,0.16
17.07,0.32,0.17
19.52,0.38,0.16
21.98,0.35,0.15
25.29,0.41,0.14
28.79,0.4,0.13
30.9,0.38,0.14
32.57,0.35,0.14
33.57,0.32,0.17
34.83,0.35,0.15
36.45,0.34,0.14
38.54,0.32,0.13
39.36,0.29,0.15
39.74,0.29,0.14
39.42,0.27,0.14
40.07,0.3,0.13
40.57,0.34,0.12
41.24,0.33,0.11
41.31,0.32,0.1
40.35,0.29,0.13
39.17,0.27,0.15
37.17,0.25,0.19
35.92,0.23,0.17
34.14,0.22,0.16
31.52,0.2,0.18
30.05,0.26,0.17
29.65,0.27,0.16
29.21,0.26,0.15
28.82,0.24,0.14
26.98,0.22,0.17
24.29,0.2,0.17
22.34,0.25,0.16
20.32,0.23,0.14
18.69,0.21,0.15
17.79,0.2,0.14
17.34,0.18,0.15
16.88,0.17,0.14
16.07,0.16,0.17
15.88,0.16,0.16
16.06,0.23,0.14
16.99,0.3,0.13
18.56,0.37,0.13
18.81,0.34,0.19
20.29,0.36,0.17
21.54,0.33,0.19
21.52,0.31,0.19
19.96,0.28,0.28
19.74,0.34,0.26
19.82,0.34,0.24
20.45,0.31,0.22
20.35,0.29,0.25
20.77,0.28,0.23
20.77,0.26,0.25
19.25,0.24,0.23
16.94,0.22,0.25
13.85,0.27,0.24
12.13,0.25,0.22
10.72,0.23,0.31
8.92,0.3,0.29
7.45,0.28,0.27
8.68,0.26,0.37
7.77,0.34,0.34
6.64,0.33,0.32
5.67,0.3,0.33
5.8,0.36,0.3
5.53,0.33,0.3
6.14,0.35,0.28
6.74,0.32,0.26
7.69,0.36,0.24
7.8,0.33,0.28
7.99,0.31,0.26
7.87,0.32,0.24
8.76,0.3,0.23
9.31,0.28,0.23
8.25,0.26,0.28
8.34,0.26,0.26
9.2,0.25,0.32
9.9,0.23,0.3
10.54,0.21,0.3
11.42,0.2,0.28
12.94,0.18,0.36
14.03,0.19,0.33
14.5,0.18,0.31
16.49,0.17,0.35
17.09,0.24,0.33
17.13,0.23,0.3
17.06,0.21,0.28
17.78,0.2,0.3
18.31,0.22,0.28
19.39,0.21,0.29
19.77,0.19,0.28
19.44,0.22,0.26
18.46,0.22,0.24
17.63,0.25,0.22
15.77,0.23,0.21
14.01,0.22,0.22
12.16,0.21,0.21
10.32,0.19,0.23
9.32,0.21,0.22
8.43,0.2,0.2
8.59,0.26,0.19
8.31,0.24,0.17
8.63,0.22,0.16
9.02,0.2,0.32
10.22,0.19,0.4
9.82,0.35,0.37
9.79,0.37,0.34
10.45,0.44,0.32
11.22,0.42,0.3
11.63,0.39,0.34
12.01,0.36,0.32
11.49,0.33,0.32
12.24,0.38,0.29
13.1,0.35,0.27
12.74,0.33,0.26
11.73,0.3,0.29
11.26,0.32,0.27
10.47,0.31,0.25
9.41,0.35,0.23
10.67,0.33,0.22
11.38,0.3,0.23
12.47,0.4,0.21
13.44,0.37,0.2
14.95,0.34,0.19
15.74,0.32,0.23
16.76,0.3,0.21
16.79,0.27,0.21
17.23,0.29,0.2
17.52,0.27,0.2
17.99,0.25,0.21
18.37,0.26,0.19
19.21,0.28,0.18
19.57,0.28,0.17
20.83,0.35,0.15
22.59,0.32,0.14
22.3,0.3,0.17
21.44,0.28,0.19
20.98,0.27,0.18
21.95,0.3,0.16
22.75,0.28,0.16
24.16,0.29,0.15
25.27,0.28,0.14
26.08,0.26,0.15
27.36,0.24,0.14
27.7,0.22,0.15
26.39,0.21,0.23
24.92,0.23,0.21
22.54,0.21,0.19
20.53,0.22,0.18
18.75,0.2,0.2
17.56,0.19,0.2
16.8,0.18,0.22
15.5,0.16,0.21
14.43,0.25,0.19
13.82,0.3,0.18
13.08,0.28,0.17
12.19,0.26,0.19
11.31,0.24,0.18
11.88,0.29,0.17
13.49,0.27,0.16
14.08,0.25,0.19
14.18,0.23,0.2
13.55,0.21,0.21
13.92,0.22,0.19
14.59,0.22,0.18
14.38,0.21,0.18
14.88,0.24,0.16
16.14,0.29,0.15
16.58,0.27,0.14
17.61,0.3,0.13
19.31,0.27,0.13
21.3,0.28,0.12
22.85,0.31,0.11
24.4,0.29,0.1
26.19,0.27,0.12
28.65,0.26,0.11
31.9,0.28,0.1
34.94,0.28,0.09
37.06,0.26,0.11
39.37,0.24,0.1
39.6,0.22,0.14
39.5,0.24,0.13
39.97,0.27,0.12
40.71,0.33,0.11
41.67,0.32,0.11
42.48,0.32,0.1
42.8,0.29,0.09
43.37,0.3,0.08
45.01,0.32,0.08
46.51,0.31,0.07
47.73,0.3,0.07
49.03,0.32,0.06
50.96,0.3,0.06
48.17,0.28,0.27
48.76,0.26,0.49
46.81,0.44,0.45
45.24,0.41,0.55
42.07,0.47,0.51
38.6,0.5,0.48
34.83,0.46,0.46
31.33,0.43,0.46
28.31,0.4,0.52
24.03,0.47,0.49
19.72,0.44,0.45
15.39,0.45,0.42
11.33,0.48,0.39
7.26,0.44,0.36
7.77,0.41,0.34
6.56,0.42,0.32
7.73,0.43,0.29
7.91,0.4,0.28
8.77,0.37,0.26
9.06,0.34,0.39
9.24,0.38,0.36
9.15,0.35,0.33
9.08,0.4,0.31
10.09,0.39,0.29
10.77,0.36,0.29
10.69,0.34,0.32
10.54,0.31,0.37
10.47,0.29,0.35
10.99,0.27,0.37
11.71,0.25,0.41
11.95,0.24,0.38
13.06,0.23,0.45
14.67,0.21,0.48
18.16,0.2,0.68
20.62,0.29,0.64
21.7,0.41,0.59
21.78,0.41,0.55
21.82,0.38,0.53
21.8,0.4,0.5
22.07,0.41,0.46
21.69,0.4,0.43
21.1,0.41,0.4
20.04,0.38,0.39
18.84,0.35,0.4
17.9,0.33,0.39
16.13,0.3,0.36
14.72,0.28,0.42
10.82,0.38,0.39
8.41,0.38,0.36
7.25,0.36,0.37
6.37,0.33,0.34
5.69,0.31,0.35
5.34,0.36,0.32
5.2,0.34,0.31
5.28,0.31,0.29
5.46,0.29,0.32
5.66,0.27,0.29
6.14,0.25,0.33
6.51,0.23,0.31
7.65,0.22,0.36
6.88,0.28,0.33
7.03,0.29,0.31
7.53,0.35,0.28
8.69,0.38,0.26
10.07,0.37,0.24
12.22,0.49,0.23
14.44,0.46,0.21
17.42,0.53,0.2
19.96,0.49,0.21
22.85,0.51,0.19
25.91,0.5,0.18
28.57,0.51,0.17
31.32,0.49,0.15
33.11,0.45,0.15
35.39,0.42,0.18
37.1,0.39,0.23
38.69,0.41,0.21
39.75,0.38,0.19
40.24,0.35,0.2
39.6,0.33,0.19
38.51,0.3,0.2
36.86,0.29,0.18
35.64,0.27,0.17
32.78,0.25,0.23
30.59,0.23,0.32
27.51,0.35,0.3
24.57,0.35,0.28
21.5,0.32,0.28
20.33,0.43,0.26
20.42,0.43,0.24
19.73,0.4,0.25
19.29,0.4,0.23
18.68,0.37,0.25
17.66,0.34,0.26
16.88,0.32,0.26
