high,low,open,close,Volume BTC
10344.65,10318.42,10322.56,10343.26,896.89989
10396,10343.18,10343.18,10359.52,2219.221024
10397.6,10345,10359.53,10387.89,1555.388325
10397.86,10329.04,10387.89,10347.31,1520.271931
10380.89,10345.89,10347.31,10370.71,999.018429
10371.83,10323.86,10370.7,10342.98,1215.013484
10359.98,10322.03,10342.98,10342.33,908.393355
10367.87,10336.28,10342.33,10358.95,1037.784227
10370,10354.67,10358.94,10358.61,1071.774149
10358.63,10323.09,10358.61,10331.09,1220.337157
10345,10306.34,10331.08,10343.98,1246.20161
10343.97,10320.18,10343.97,10333.19,1403.593043
10356.8,10325,10333.2,10354.29,1200.134001
10359.48,10331.44,10354.3,10340.49,1219.484768
10346.95,10324.19,10340.49,10341.59,1689.957768
10341.58,10306.25,10341.58,10319.74,1474.834243
10327.73,10269.25,10319.73,10294.01,2094.244947
10355,10275.04,10294.01,10347.78,1911.667732
10380,10338.84,10347.79,10359.99,2126.786949
10376.05,10348.89,10360,10371.39,1211.69024
10378.96,10353.84,10371.39,10377.15,1531.217642
10477.97,10376.36,10377.15,10451.99,3575.991909
10467.13,10425.81,10452,10461.39,1798.352018
10473.33,10427.68,10461.24,10438.32,1519.152253
10461.88,10408,10438.32,10449.99,1142.09469
10455.71,10410,10449.99,10434.97,1108.671435
10449.01,10412,10434.97,10440.92,1152.485116
10448.9,10412.8,10440.67,10430.25,1242.532825
10434.1,10400.04,10430.25,10421.94,1399.536382
10445.98,10418.22,10421.86,10428.11,870.614856
10559.12,10427.76,10428.11,10556.26,3034.309233
10580.11,10526,10556.4,10539.33,1749.008062
10545.72,10520.74,10539.25,10532.76,1163.399721
10548.75,10520,10532.76,10523.53,1082.434299
10556.96,10520,10523.52,10542.27,1508.946294
10560,10525.93,10542.27,10539.42,1828.810848
10549.67,10471,10539.81,10504.01,2017.361144
10504.02,10438,10504.01,10452.37,2534.020507
10471.66,10303.28,10452.37,10324.89,4085.393614
10352.21,10285.73,10324.88,10290.05,2829.31224
10342.84,10258,10290.06,10322.73,2489.821261
10341.82,10303.33,10322.74,10324.78,1618.648839
10342,10272.44,10324.77,10280.14,1712.571848
10296.79,10200,10280.15,10257.77,3730.155618
10284.02,10212.51,10257.78,10275.01,2144.266995
10282.27,10243.47,10276.69,10257.34,1115.529287
10323.67,10247.34,10257.13,10309.05,1499.147021
10315,10284.74,10309.05,10312.18,1120.897005
10321,10286.77,10312.19,10296.87,821.151679
10316.18,10292.44,10296.87,10306.66,901.616714
10332.84,10296.77,10306.67,10332.83,1338.123573
10334.19,10240.34,10332.84,10273.28,1843.16152
10324.21,10273.28,10273.28,10324.2,1112.235665
10371.03,10324.2,10324.2,10348.7,1931.190971
10363.17,10331.3,10348.69,10348.14,1285.516237
10353.87,10316.29,10348.14,10344.96,1472.228956
10355.61,10316.18,10345.06,10337.75,1674.257175
10368,10333.21,10337.76,10359.74,1899.515311
10404,10347.71,10359.74,10399.32,2064.43318
10458.16,10212.34,10399.31,10359.61,5089.739197
10369.26,10323,10359.62,10366.97,2301.656528
10432.94,10365.01,10366.96,10416.06,2605.742222
10479,10396.89,10416.16,10469.82,3525.02919
10519,10450.31,10469.92,10504.26,3959.139441
10665.46,10504.26,10504.26,10643.64,8730.683907
10688,10595.57,10643.64,10631.06,4982.570503
10706.91,10631.07,10631.07,10698.03,4810.386687
10750,10652.87,10698.03,10725.2,4931.823505
10739.11,10669.74,10725.2,10683.72,2444.040594
10695,10640,10683.71,10674.98,2003.237504
10692.29,10653.42,10674.98,10665,1484.127687
10713.1,10656.39,10665,10683.99,1805.957525
10719.55,10670.26,10683.98,10717.36,1359.362528
10747.36,10636.37,10717.35,10650.37,2121.805117
10685.49,10618.82,10650.37,10671.77,1621.450211
10703.01,10650,10671.77,10680.8,1672.656285
10728.74,10652.22,10680.8,10714.41,1993.300713
10839,10699,10714.95,10758.24,4096.276012
10780,10736.72,10758.24,10755.13,1745.779807
10784.23,10708.27,10755.12,10731.41,1826.755279
10762.56,10709.34,10731.41,10742.04,1295.521768
10742.05,10688.94,10742.04,10736.06,2030.727135
10758.35,10705.7,10736.05,10741.37,1687.789003
10758.65,10606.48,10741.37,10644.14,3093.410205
10700,10625,10644.13,10693.93,2418.379393
10867,10663.17,10693.94,10847.32,3743.276022
10882,10771.26,10847.29,10821.15,3766.621196
10930.04,10821.14,10821.15,10907.94,4552.641795
10917.96,10834,10907.94,10834.71,3326.42094
10879,10736.63,10834.71,10764.19,4382.021477
10815.47,10745.63,10763.37,10784.46,3531.309654
10827.61,10700,10785.23,10784.23,3348.735166
10812.44,10738.33,10784.23,10794.84,1931.035921
10810,10748.03,10794.84,10784.22,1514.454196
10785.27,10746.06,10784.22,10783.36,1440.870597
10871.38,10770.39,10783.35,10860.01,2698.08277
10886.39,10816.16,10860.01,10858.6,1810.167196
10864.67,10716.95,10858.61,10779.25,2294.305602
10795.41,10752.62,10779.24,10785.31,1621.914654
10791.72,10661.22,10785.23,10717.23,4149.780148
10751.82,10670.36,10717.23,10738.19,1906.960299
10743.51,10696.16,10738.18,10736.3,1779.228315
10781.81,10713.27,10736.31,10779.41,1468.588472
10819,10758.59,10779.61,10788.45,1762.266027
10830.59,10758.85,10788.45,10771.74,2024.703254
10855,10759.81,10771.74,10835.53,2367.055253
10939.6,10810.8,10835.98,10915.49,3632.950974
10930,10865,10916.09,10897.6,2787.276892
10898.81,10848.42,10897.59,10865.12,1893.781054
10926.88,10827,10865.2,10842.71,3009.761827
