madc,signal,histogram
-9.08,-9.9,0.82
-8.38,-9.59,1.22
-6.38,-8.95,2.57
-3.12,-7.79,4.66
1.45,-5.94,7.39
6.1,-3.53,9.63
10.22,-0.78,11.0
14.52,2.28,12.24
17.24,5.27,11.97
17.16,7.65,9.51
13.63,8.85,4.78
12.09,9.49,2.59
13.32,10.26,3.06
15.89,11.39,4.5
20.62,13.23,7.39
23.57,15.3,8.27
30.84,18.41,12.44
33.25,21.38,11.87
19.69,21.04,-1.35
-1.83,16.47,-18.3
-16.24,9.93,-26.16
-20.3,3.88,-24.18
-19.97,-0.89,-19.08
-20.15,-4.74,-15.41
-18.65,-7.52,-11.13
-14.92,-9.0,-5.91
-11.1,-9.42,-1.68
-4.74,-8.49,3.74
0.39,-6.71,7.1
2.64,-4.84,7.48
5.27,-2.82,8.09
10.58,-0.14,10.72
11.75,2.24,9.51
13.92,4.57,9.34
18.53,7.36,11.17
21.69,10.23,11.46
24.18,13.02,11.16
35.26,17.47,17.79
58.47,25.67,32.8
70.65,34.67,35.99
80.31,43.8,36.52
86.67,52.37,34.3
108.09,63.51,44.57
126.31,76.07,50.24
141.6,89.18,52.43
148.81,101.11,47.71
154.59,111.8,42.79
153.03,120.05,32.98
157.24,127.49,29.75
161.73,134.33,27.4
155.92,138.65,17.27
155.66,142.05,13.61
154.06,144.45,9.6
160.86,147.74,13.13
159.58,150.1,9.47
153.84,150.85,2.99
146.39,149.96,-3.57
137.37,147.44,-10.08
125.14,142.98,-17.84
115.83,137.55,-21.72
100.86,130.21,-29.35
84.4,121.05,-36.65
51.18,107.08,-55.89
22.59,90.18,-67.59
-15.0,69.14,-84.15
-47.24,45.87,-93.11
-59.83,24.73,-84.56
-75.34,4.71,-80.05
-83.37,-12.9,-70.47
-86.56,-27.63,-58.92
-91.62,-40.43,-51.19
-91.99,-50.74,-41.24
-91.42,-58.88,-32.54
-84.75,-64.05,-20.7
-78.04,-66.85,-11.19
-73.59,-68.2,-5.39
-66.16,-67.79,1.63
-63.23,-66.88,3.65
-56.81,-64.87,8.05
-54.74,-62.84,8.1
-48.58,-59.99,11.4
-43.7,-56.73,13.03
-50.53,-55.49,4.96
-56.49,-55.69,-0.8
-55.25,-55.6,0.36
-61.03,-56.69,-4.34
-68.48,-59.05,-9.44
-67.31,-60.7,-6.61
-57.5,-60.06,2.56
-33.61,-54.77,21.16
-13.72,-46.56,32.84
10.54,-35.14,45.68
32.65,-21.58,54.23
47.49,-7.77,55.26
53.38,4.46,48.92
56.38,14.85,41.53
60.73,24.02,36.71
54.35,30.09,24.26
53.26,34.72,18.53
62.36,40.25,22.11
66.61,45.52,21.09
61.0,48.62,12.39
53.83,49.66,4.17
46.69,49.07,-2.38
21.47,43.55,-22.08
3.09,35.46,-32.36
-9.99,26.37,-36.35
-18.24,17.44,-35.69
-21.75,9.61,-31.35
-22.28,3.23,-25.51
-18.77,-1.17,-17.6
-17.31,-4.4,-12.91
-21.2,-7.76,-13.44
-16.96,-9.6,-7.36
2.38,-7.2,9.58
15.29,-2.7,18.0
24.92,2.82,22.1
32.67,8.79,23.88
39.33,14.9,24.43
51.23,22.16,29.07
53.71,28.47,25.24
55.5,33.88,21.62
56.82,38.47,18.35
61.59,43.09,18.5
66.31,47.74,18.58
67.31,51.65,15.66
57.73,52.87,4.87
51.54,52.6,-1.06
42.67,50.61,-7.94
46.31,49.75,-3.44
45.77,48.96,-3.19
57.89,50.75,7.15
78.96,56.39,22.57
88.86,62.88,25.98
105.04,71.31,33.73
111.61,79.37,32.24
114.09,86.32,27.77
110.79,91.21,19.57
110.17,95.0,15.17
105.75,97.15,8.6
97.88,97.3,0.58
85.72,94.98,-9.26
80.38,92.06,-11.68
79.76,89.6,-9.84
78.43,87.37,-8.94
78.74,85.64,-6.9
72.02,82.92,-10.89
60.75,78.48,-17.73
53.94,73.57,-19.64
44.47,67.75,-23.28
34.48,61.1,-26.62
25.25,53.93,-28.68
19.4,47.02,-27.62
15.9,40.8,-24.9
19.19,36.48,-17.29
18.05,32.79,-14.74
12.08,28.65,-16.57
10.31,24.98,-14.67
6.48,21.28,-14.8
8.5,18.72,-10.23
12.64,17.51,-4.86
15.85,17.18,-1.32
18.58,17.46,1.12
20.58,18.08,2.5
22.71,19.01,3.7
22.6,19.73,2.87
22.09,20.2,1.89
23.65,20.89,2.76
24.15,21.54,2.61
15.32,20.3,-4.98
13.15,18.87,-5.71
14.51,18.0,-3.49
11.5,16.7,-5.2
6.24,14.6,-8.37
0.42,11.77,-11.35
-3.99,8.62,-12.61
-8.41,5.21,-13.62
-8.01,2.57,-10.58
-7.05,0.64,-7.69
-29.69,-5.42,-24.27
-37.13,-11.76,-25.36
-48.82,-19.18,-29.65
-64.65,-28.27,-36.38
-84.66,-39.55,-45.11
-91.83,-50.01,-41.82
-90.29,-58.06,-32.23
-85.64,-63.58,-22.06
-79.57,-66.78,-12.8
-74.28,-68.28,-6.01
-73.62,-69.35,-4.27
-64.65,-68.41,3.76
-48.14,-64.35,16.22
-39.31,-59.34,20.04
-33.53,-54.18,20.65
-31.47,-49.64,18.17
-31.19,-45.95,14.76
-25.16,-41.79,16.64
-33.26,-40.08,6.83
-42.43,-40.55,-1.88
-47.07,-41.86,-5.21
-53.8,-44.25,-9.56
-54.4,-46.28,-8.13
-52.57,-47.54,-5.04
-44.78,-46.99,2.2
-34.55,-44.5,9.95
-27.03,-41.0,13.98
-22.31,-37.26,14.96
-19.74,-33.76,14.02
-2.75,-27.56,24.81
17.36,-18.57,35.94
27.01,-9.46,36.46
34.77,-0.61,35.38
41.62,7.84,33.79
47.3,15.73,31.57
49.61,22.5,27.1
51.68,28.34,23.34
52.82,33.24,19.59
60.39,38.67,21.73
81.54,47.24,34.3
78.92,53.58,25.34
77.36,58.33,19.03
70.79,60.82,9.96
76.11,63.88,12.23
79.37,66.98,12.39
73.04,68.19,4.85
67.78,68.11,-0.33
46.68,63.82,-17.14
33.19,57.7,-24.51
22.92,50.74,-27.82
17.41,44.08,-26.67
15.46,38.35,-22.89
22.03,35.09,-13.06
27.76,33.62,-5.86
32.32,33.36,-1.04
41.23,34.94,6.29
56.72,39.29,17.42
71.79,45.79,26.0
84.2,53.47,30.72
94.2,61.62,32.58
95.6,68.41,27.18
92.71,73.27,19.44
100.74,78.77,21.97
106.12,84.24,21.88
106.02,88.59,17.43
107.45,92.36,15.08
114.94,96.88,18.06
125.64,102.63,23.01
131.01,108.31,22.7
135.74,113.79,21.94
139.37,118.91,20.46
151.85,125.5,26.35
157.36,131.87,25.49
161.34,137.76,23.58
177.43,145.7,31.74
193.57,155.27,38.3
216.18,167.45,48.72
226.8,179.32,47.48
239.1,191.28,47.82
260.84,205.19,55.65
280.93,220.34,60.59
284.03,233.08,50.96
275.36,241.53,33.82
279.93,249.21,30.72
276.0,254.57,21.43
282.59,260.17,22.42
309.08,269.95,39.12
330.7,282.1,48.6
365.77,298.84,66.93
380.52,315.17,65.35
378.74,327.89,50.86
355.96,333.5,22.46
343.47,335.5,7.98
336.19,335.63,0.55
330.71,334.65,-3.94
326.92,333.1,-6.19
299.95,326.47,-26.52
269.33,315.04,-45.72
256.73,303.38,-46.65
242.98,291.3,-48.32
219.95,277.03,-57.08
217.88,265.2,-47.32
195.78,251.32,-55.54
172.39,235.53,-63.14
158.9,220.2,-61.3
144.11,204.99,-60.88
130.36,190.06,-59.7
116.2,175.29,-59.09
107.61,161.75,-54.14
103.58,150.12,-46.54
104.16,140.93,-36.77
102.23,133.19,-30.95
101.78,126.91,-25.13
106.38,122.8,-16.42
99.61,118.16,-18.55
91.23,112.78,-21.55
81.07,106.43,-25.37
75.5,100.25,-24.75
68.15,93.83,-25.68
54.94,86.05,-31.11
48.26,78.49,-30.23
41.31,71.05,-29.74
40.83,65.01,-24.18
37.13,59.43,-22.3
33.27,54.2,-20.93
29.54,49.27,-19.73
9.65,41.35,-31.69
-2.75,32.53,-35.27
-10.67,23.89,-34.56
-27.59,13.59,-41.19
-64.17,-1.96,-62.21
-114.78,-24.52,-90.25
-136.47,-46.91,-89.56
-154.28,-68.39,-85.89
-168.27,-88.36,-79.91
-175.86,-105.86,-70.0
-172.27,-119.14,-53.12
-156.79,-126.67,-30.12
-145.33,-130.4,-14.92
-139.38,-132.2,-7.18
-130.88,-131.93,1.06
-117.69,-129.09,11.39
-109.62,-125.19,15.57
-107.8,-121.71,13.92
-102.0,-117.77,15.77
-91.82,-112.58,20.76
-72.07,-104.48,32.41
-55.01,-94.59,39.57
-35.35,-82.74,47.39
-22.52,-70.7,48.17
-1.12,-56.78,55.66
16.43,-42.14,58.57
32.75,-27.16,59.91
60.01,-9.73,69.74
77.0,7.62,69.38
74.4,20.97,53.42
74.37,31.65,42.71
69.65,39.25,30.39
78.95,47.19,31.76
83.35,54.42,28.93
91.8,61.9,29.9
94.15,68.35,25.8
91.58,73.0,18.58
85.86,75.57,10.29
76.27,75.71,0.56
74.55,75.48,-0.93
65.11,73.4,-8.29
51.25,68.97,-17.72
47.01,64.58,-17.57
44.01,60.47,-16.46
46.06,57.59,-11.52
74.0,60.87,13.13
76.13,63.92,12.21
54.06,61.95,-7.89
21.98,53.95,-31.97
-11.38,40.89,-52.26
-28.56,27.0,-55.56
-32.65,15.07,-47.72
-28.1,6.44,-34.53
-20.83,0.98,-21.81
-13.79,-1.97,-11.82
-8.49,-3.27,-5.21
-14.33,-5.49,-8.85
-11.91,-6.77,-5.14
-12.14,-7.84,-4.29
-4.84,-7.24,2.4
-3.28,-6.45,3.17
-2.36,-5.63,3.27
2.58,-3.99,6.57
4.06,-2.38,6.44
-1.37,-2.18,0.81
-5.7,-2.88,-2.82
-1.32,-2.57,1.25
3.13,-1.43,4.56
0.29,-1.08,1.38
-3.99,-1.67,-2.33
-6.64,-2.66,-3.98
-7.11,-3.55,-3.56
-14.39,-5.72,-8.67
-24.04,-9.38,-14.66
-25.26,-12.56,-12.7
-20.69,-14.18,-6.5
-20.31,-15.41,-4.9
-17.25,-15.78,-1.47
-16.04,-15.83,-0.21
-7.65,-14.19,6.55
-1.15,-11.58,10.43
-1.82,-9.63,7.81
11.83,-5.34,17.17
19.1,-0.45,19.55
20.89,3.82,17.08
23.24,7.7,15.53
21.97,10.56,11.41
21.36,12.72,8.64
19.46,14.06,5.39
21.02,15.46,5.56
21.69,16.7,4.99
24.4,18.24,6.15
39.3,22.45,16.85
49.23,27.81,21.42
60.08,34.26,25.82
62.94,40.0,22.94
70.73,46.15,24.59
78.49,52.61,25.88
90.78,60.25,30.54
108.08,69.82,38.27
116.11,79.07,37.04
120.75,87.41,33.34
115.47,93.02,22.45
118.04,98.03,20.02
116.17,101.66,14.52
105.6,102.44,3.16
90.14,99.98,-9.84
79.43,95.87,-16.44
68.27,90.35,-22.08
59.68,84.22,-24.54
54.92,78.36,-23.44
57.47,74.18,-16.71
62.26,71.8,-9.53
71.02,71.64,-0.62
71.39,71.59,-0.2
91.4,75.55,15.85
78.59,76.16,2.43
72.26,75.38,-3.12
76.28,75.56,0.72
87.38,77.92,9.45
94.16,81.17,12.99
109.61,86.86,22.75
120.43,93.57,26.86
113.05,97.47,15.58
118.31,101.64,16.67
118.39,104.99,13.4
123.6,108.71,14.89
125.87,112.14,13.73
133.03,116.32,16.71
142.41,121.54,20.87
156.05,128.44,27.61
168.09,136.37,31.72
172.58,143.61,28.97
177.36,150.36,27.0
176.39,155.57,20.82
160.44,156.54,3.9
152.54,155.74,-3.2
139.74,152.54,-12.8
128.94,147.82,-18.88
123.87,143.03,-19.16
108.64,136.15,-27.51
97.37,128.4,-31.03
89.12,120.54,-31.42
80.4,112.51,-32.12
71.03,104.22,-33.19
54.09,94.19,-40.1
46.03,84.56,-38.53
45.18,76.68,-31.5
43.88,70.12,-26.24
45.17,65.13,-19.96
39.28,59.96,-20.68
39.87,55.94,-16.07
42.83,53.32,-10.5
45.53,51.76,-6.23
44.19,50.25,-6.05
35.44,47.29,-11.84
25.58,42.95,-17.36
18.97,38.15,-19.18
9.72,32.46,-22.75
5.18,27.01,-21.83
1.92,21.99,-20.07
-7.13,16.17,-23.29
-24.51,8.03,-32.54
-50.94,-3.76,-47.18
-66.67,-16.34,-50.33
-72.21,-27.52,-44.7
-77.31,-37.47,-39.83
-78.53,-45.69,-32.84
-71.72,-50.89,-20.82
-70.64,-54.84,-15.8
-76.53,-59.18,-17.35
-76.45,-62.63,-13.82
-76.08,-65.32,-10.76
-76.27,-67.51,-8.76
-66.81,-67.37,0.56
-58.68,-65.63,6.96
-48.17,-62.14,13.97
-36.48,-57.01,20.53
-29.28,-51.46,22.18
-27.98,-46.77,18.79
-26.47,-42.71,16.24
-29.35,-40.04,10.69
-30.68,-38.16,7.49
-24.74,-35.48,10.74
-17.13,-31.81,14.68
-12.78,-28.0,15.22
-2.28,-22.86,20.58
1.73,-17.94,19.67
-0.95,-14.54,13.6
-6.09,-12.85,6.76
-7.54,-11.79,4.25
-3.22,-10.08,6.86
-0.08,-8.08,8.0
0.64,-6.33,6.97
-0.82,-5.23,4.41
-11.03,-6.39,-4.64
-17.58,-8.63,-8.95
-26.46,-12.19,-14.26
-33.92,-16.54,-17.38
-39.1,-21.05,-18.05
-36.61,-24.16,-12.44
-31.7,-25.67,-6.03
-26.22,-25.78,-0.44
-23.62,-25.35,1.73
-22.34,-24.75,2.41
-15.39,-22.87,7.49
-7.53,-19.81,12.27
4.63,-14.92,19.55
24.42,-7.05,31.47
39.46,2.25,37.21
49.24,11.65,37.59
57.84,20.89,36.95
75.85,31.88,43.97
77.22,40.95,36.27
83.02,49.37,33.66
87.97,57.09,30.88
97.11,65.09,32.02
107.04,73.48,33.56
122.89,83.36,39.53
143.92,95.47,48.44
158.66,108.11,50.55
175.44,121.58,53.86
190.3,135.32,54.98
189.39,146.13,43.25
187.99,154.51,33.48
184.73,160.55,24.18
187.45,165.93,21.52
178.2,168.38,9.82
167.95,168.3,-0.35
149.67,164.57,-14.9
141.26,159.91,-18.65
129.13,153.75,-24.62
119.11,146.83,-27.71
119.34,141.33,-21.99
114.56,135.97,-21.42
105.85,129.95,-24.1
106.16,125.19,-19.04
123.66,124.88,-1.23
142.97,128.5,14.47
145.66,131.93,13.73
162.58,138.06,24.52
187.41,147.93,39.48
230.03,164.35,65.67
274.3,186.34,87.96
292.28,207.53,84.75
306.77,227.38,79.39
314.02,244.7,69.32
311.86,258.14,53.72
304.43,267.39,37.03
300.13,273.94,26.19
296.07,278.37,17.71
293.17,281.33,11.85
282.87,281.64,1.24
299.5,285.21,14.29
336.13,295.39,40.74
301.5,296.61,4.88
283.43,293.98,-10.55
288.66,292.92,-4.25
301.23,294.58,6.65
299.58,295.58,4.0
306.04,297.67,8.37
307.61,299.66,7.95
287.31,297.19,-9.87
256.88,289.13,-32.25
214.17,274.14,-59.97
193.48,258.01,-64.52
168.68,240.14,-71.46
155.04,223.12,-68.08
133.45,205.19,-71.74
105.76,185.3,-79.54
81.5,164.54,-83.04
71.12,145.86,-74.74
65.64,129.81,-64.17
58.21,115.49,-57.28
50.68,102.53,-51.85
51.58,92.34,-40.76
57.53,85.38,-27.85
60.49,80.4,-19.91
56.47,75.62,-19.14
56.68,71.83,-15.14
44.67,66.4,-21.73
26.74,58.47,-31.72
3.1,47.39,-44.3
-23.99,33.12,-57.11
-30.16,20.46,-50.62
-22.41,11.89,-34.29
-20.45,5.42,-25.87
4.46,5.23,-0.77
33.2,10.82,22.38
49.61,18.58,31.03
59.09,26.68,32.41
62.62,33.87,28.75
61.85,39.47,22.39
62.28,44.03,18.25
67.35,48.69,18.66
62.93,51.54,11.39
53.28,51.89,1.39
40.56,49.62,-9.06
28.09,45.32,-17.22
32.62,42.78,-10.16
35.76,41.37,-5.61
37.42,40.58,-3.16
57.41,43.95,13.46
67.26,48.61,18.65
76.98,54.28,22.69
87.48,60.92,26.56
102.11,69.16,32.94
101.9,75.71,26.19
109.46,82.46,27.0
112.47,88.46,24.01
111.27,93.02,18.25
109.69,96.36,13.34
138.17,104.72,33.45
161.9,116.15,45.75
179.91,128.9,51.0
192.01,141.53,50.49
191.12,151.45,39.68
191.84,159.53,32.32
189.9,165.6,24.3
182.78,169.04,13.74
178.28,170.88,7.4
175.57,171.82,3.75
187.8,175.02,12.78
192.83,178.58,14.25
187.36,180.33,7.02
174.51,179.17,-4.66
156.06,174.55,-18.49
145.67,168.77,-23.11
133.92,161.8,-27.88
126.54,154.75,-28.21
128.22,149.44,-21.22
114.38,142.43,-28.05
100.91,134.13,-33.22
84.23,124.15,-39.92
79.01,115.12,-36.11
86.25,109.34,-23.09
86.01,104.68,-18.66
89.39,101.62,-12.23
86.41,98.58,-12.17
85.49,95.96,-10.47
81.66,93.1,-11.44
73.29,89.14,-15.85
63.68,84.05,-20.37
55.6,78.36,-22.76
47.25,72.14,-24.88
45.51,66.81,-21.3
31.19,59.69,-28.5
13.43,50.44,-37.01
8.42,42.03,-33.62
2.48,34.12,-31.64
1.19,27.54,-26.34
-6.62,20.7,-27.33
-15.49,13.47,-28.95
-20.95,6.58,-27.53
-47.86,-4.31,-43.56
-55.05,-14.45,-40.59
-76.53,-26.87,-49.66
-115.2,-44.53,-70.66
-126.67,-60.96,-65.71
-127.11,-74.19,-52.92
-127.38,-84.83,-42.55
-116.87,-91.24,-25.63
-86.59,-90.31,3.71
-67.87,-85.82,17.95
-50.43,-78.74,28.31
-30.72,-69.14,38.42
-16.79,-58.67,41.88
-4.34,-47.8,43.46
9.16,-36.41,45.57
3.76,-28.38,32.14
-22.7,-27.24,4.54
-37.34,-29.26,-8.07
-48.29,-33.07,-15.23
-43.69,-35.19,-8.5
-32.23,-34.6,2.37
-24.71,-32.62,7.91
-12.01,-28.5,16.48
-6.87,-24.17,17.3
6.57,-18.03,24.59
22.02,-10.02,32.04
42.6,0.51,42.09
43.93,9.19,34.74
48.63,17.08,31.55
49.72,23.61,26.11
44.88,27.86,17.02
19.18,26.13,-6.94
7.97,22.5,-14.52
-2.78,17.44,-20.22
-11.7,11.61,-23.31
-10.73,7.14,-17.87
-15.54,2.61,-18.15
-16.16,-1.14,-15.01
-16.03,-4.12,-11.9
-19.55,-7.21,-12.34
-22.12,-10.19,-11.93
-16.03,-11.36,-4.67
-21.36,-13.36,-8.0
-25.17,-15.72,-9.45
-19.69,-16.51,-3.17
-24.64,-18.14,-6.5
-22.51,-19.01,-3.49
-22.57,-19.72,-2.84
-2.85,-16.35,13.49
42.08,-4.66,46.75
69.14,10.1,59.05
103.75,28.83,74.92
138.55,50.77,87.78
163.57,73.33,90.24
198.59,98.39,100.21
221.71,123.05,98.66
232.31,144.9,87.41
230.67,162.05,68.61
230.72,175.79,54.94
220.61,184.75,35.86
202.01,188.2,13.8
175.69,185.7,-10.01
167.73,182.11,-14.37
162.53,178.19,-15.66
156.73,173.9,-17.17
145.45,168.21,-22.76
125.08,159.58,-34.5
94.31,146.53,-52.22
59.38,129.1,-69.72
46.78,112.64,-65.85
37.62,97.63,-60.01
36.4,85.39,-48.98
46.21,77.55,-31.34
57.72,73.58,-15.87
75.5,73.97,1.53
88.06,76.79,11.28
97.71,80.97,16.74
96.73,84.12,12.6
100.47,87.39,13.08
90.93,88.1,2.83
71.38,84.76,-13.37
61.06,80.02,-18.96
51.9,74.39,-22.49
38.12,67.14,-29.02
20.6,57.83,-37.23
4.87,47.24,-42.37
-17.21,34.35,-51.56
-37.46,19.99,-57.45
-41.47,7.7,-49.16
-49.17,-3.68,-45.5
-86.43,-20.23,-66.2
-152.36,-46.66,-105.71
-214.73,-80.27,-134.46
-248.47,-113.91,-134.56
-270.22,-145.17,-125.05
-310.84,-178.31,-132.54
-398.25,-222.29,-175.95
-447.67,-267.37,-180.3
-463.4,-306.58,-156.83
-485.21,-342.3,-142.9
-475.29,-368.9,-106.39
-487.19,-392.56,-94.64
-516.68,-417.38,-99.3
-520.1,-437.93,-82.18
-535.26,-457.39,-77.86
-539.5,-473.81,-65.68
-549.59,-488.97,-60.63
-552.43,-501.66,-50.77
-498.94,-501.12,2.18
-459.73,-492.84,33.11
-412.86,-476.84,63.98
-372.91,-456.06,83.15
-317.88,-428.42,110.54
-278.1,-398.36,120.26
-260.83,-370.85,110.02
-245.48,-345.78,100.3
-231.03,-322.83,91.8
-202.31,-298.72,96.41
-175.63,-274.1,98.48
-167.7,-252.82,85.12
-179.0,-238.06,59.06
-201.3,-230.71,29.4
-195.42,-223.65,28.23
-199.05,-218.73,19.68
-177.49,-210.48,32.99
-168.32,-202.05,33.73
-173.28,-196.3,23.01
-196.7,-196.38,-0.33
-187.98,-194.7,6.72
-185.59,-192.88,7.28
-177.32,-189.77,12.44
-167.07,-185.23,18.15
-135.87,-175.36,39.48
-115.85,-163.46,47.61
-101.91,-151.15,49.24
-75.22,-135.96,60.74
-52.62,-119.29,66.67
-35.93,-102.62,66.69
-34.08,-88.91,54.84
-31.73,-77.47,45.75
-31.83,-68.35,36.52
-30.22,-60.72,30.5
-25.32,-53.64,28.32
-21.56,-47.23,25.66
-29.51,-43.68,14.17
-32.1,-41.37,9.26
-11.49,-35.39,23.9
1.97,-27.92,29.89
10.43,-20.25,30.68
34.61,-9.28,43.89
51.57,2.89,48.68
78.71,18.06,60.65
114.25,37.29,76.96
143.86,58.61,85.25
164.17,79.72,84.45
184.94,100.76,84.18
187.85,118.18,69.66
193.39,133.22,60.17
197.04,145.99,51.06
194.45,155.68,38.77
184.58,161.46,23.12
169.81,163.13,6.68
168.65,164.24,4.42
175.81,166.55,9.26
171.08,167.46,3.63
167.61,167.49,0.12
158.1,165.61,-7.51
155.88,163.66,-7.78
178.5,166.63,11.87
190.95,171.5,19.45
205.58,178.31,27.27
206.54,183.96,22.58
200.12,187.19,12.93
198.18,189.39,8.79
189.81,189.47,0.34
187.48,189.07,-1.6
181.11,187.48,-6.37
174.41,184.87,-10.45
169.09,181.71,-12.62
156.98,176.77,-19.78
158.83,173.18,-14.35
162.26,171.0,-8.73
153.39,167.47,-14.08
148.82,163.74,-14.92
163.12,163.62,-0.5
176.58,166.21,10.37
187.1,170.39,16.71
199.0,176.11,22.89
201.62,181.21,20.4
201.1,185.19,15.91
206.59,189.47,17.12
195.71,190.72,4.99
186.25,189.82,-3.57
178.68,187.6,-8.92
178.52,185.78,-7.26
195.2,187.66,7.53
231.12,196.35,34.76
282.89,213.66,69.23
305.17,231.96,73.2
311.52,247.88,63.65
328.68,264.04,64.65
321.01,275.43,45.58
318.05,283.95,34.1
326.43,292.45,33.98
324.63,298.89,25.74
328.99,304.91,24.08
344.28,312.78,31.5
341.94,318.61,23.33
339.42,322.78,16.65
339.58,326.14,13.44
314.99,323.91,-8.91
286.92,316.51,-29.59
271.99,307.61,-35.62
245.58,295.2,-49.62
236.24,283.41,-47.17
222.35,271.2,-48.85
216.76,260.31,-43.55
223.82,253.01,-29.19
201.72,242.75,-41.04
112.4,216.68,-104.28
57.77,184.9,-127.13
56.24,159.17,-102.93
52.65,137.87,-85.22
32.92,116.88,-83.96
17.05,96.91,-79.86
-21.07,73.31,-94.39
-24.3,53.79,-78.09
-30.17,37.0,-67.17
-33.31,22.94,-56.25
-46.83,8.98,-55.81
-67.26,-6.26,-60.99
-76.79,-20.37,-56.42
-81.99,-32.69,-49.29
-99.29,-46.01,-53.28
-116.36,-60.08,-56.28
-133.77,-74.82,-58.95
-137.64,-87.38,-50.25
-117.38,-93.38,-24.0
-84.39,-91.58,7.19
-51.94,-83.66,31.71
-38.62,-74.65,36.02
-22.38,-64.19,41.82
-7.48,-52.85,45.37
-10.59,-44.4,33.81
1.73,-35.17,36.91
-5.73,-29.28,23.56
-12.99,-26.03,13.03
-21.35,-25.09,3.74
-18.08,-23.69,5.61
-12.47,-21.44,8.98
-0.82,-17.32,16.5
6.9,-12.47,19.38
17.79,-6.42,24.21
23.42,-0.45,23.87
34.97,6.63,28.34
41.71,13.65,28.06
33.5,17.62,15.88
28.66,19.83,8.84
28.16,21.49,6.67
23.79,21.95,1.84
10.65,19.69,-9.04
4.02,16.56,-12.54
17.76,16.8,0.96
41.93,21.82,20.11
59.21,29.3,29.91
71.25,37.69,33.56
83.29,46.81,36.48
85.77,54.6,31.17
83.53,60.39,23.14
86.42,65.6,20.83
102.36,72.95,29.41
99.31,78.22,21.09
91.35,80.85,10.5
89.84,82.64,7.19
91.04,84.32,6.72
87.37,84.93,2.44
89.04,85.76,3.29
91.35,86.87,4.47
88.75,87.25,1.5
88.79,87.56,1.23
76.7,85.39,-8.68
60.81,80.47,-19.66
40.55,72.49,-31.94
34.12,64.81,-30.7
21.77,56.2,-34.43
21.19,49.2,-28.01
17.84,42.93,-25.09
23.39,39.02,-15.63
24.7,36.16,-11.45
-4.53,28.02,-32.55
-38.96,14.62,-53.59
-50.08,1.68,-51.76
-59.9,-10.64,-49.27
-63.67,-21.24,-42.42
-74.09,-31.81,-42.28
-78.38,-41.12,-37.26
-81.84,-49.27,-32.57
-76.63,-54.74,-21.89
-73.09,-58.41,-14.68
-75.56,-61.84,-13.72
-89.09,-67.29,-21.8
-109.94,-75.82,-34.12
-126.19,-85.89,-40.3
-128.42,-94.4,-34.02
-138.22,-103.16,-35.06
-132.77,-109.09,-23.69
-124.67,-112.2,-12.47
-113.3,-112.42,-0.88
-95.88,-109.11,13.23
-80.46,-103.38,22.93
-71.58,-97.02,25.44
-44.78,-86.57,41.8
-26.42,-74.54,48.13
-11.41,-61.91,50.51
-7.58,-51.05,43.47
-0.78,-40.99,40.22
-1.57,-33.11,31.54
5.55,-25.38,30.93
13.53,-17.6,31.12
18.68,-10.34,29.02
24.64,-3.35,27.98
28.27,2.98,25.29
31.02,8.59,22.44
27.7,12.41,15.29
20.96,14.12,6.84
16.52,14.6,1.92
22.99,16.28,6.71
37.47,20.52,16.95
47.8,25.97,21.83
53.11,31.4,21.71
52.67,35.65,17.02
51.93,38.91,13.02
48.05,40.74,7.31
47.01,41.99,5.02
49.42,43.48,5.94
33.71,41.52,-7.81
22.99,37.82,-14.83
14.25,33.1,-18.85
11.07,28.7,-17.63
-0.07,22.94,-23.01
-11.14,16.13,-27.27
-6.37,11.63,-18.0
-2.09,8.88,-10.98
-0.24,7.06,-7.3
2.91,6.23,-3.32
3.53,5.69,-2.16
6.16,5.78,0.37
11.03,6.83,4.19
20.25,9.52,10.73
18.26,11.26,6.99
35.15,16.04,19.11
44.73,21.78,22.95
49.69,27.36,22.33
45.59,31.01,14.58
48.45,34.5,13.95
50.4,37.68,12.72
48.19,39.78,8.41
50.7,41.96,8.74
57.27,45.02,12.25
52.16,46.45,5.7
44.56,46.07,-1.51
35.72,44.0,-8.28
22.01,39.6,-17.59
21.81,36.05,-14.23
17.33,32.3,-14.97
14.27,28.7,-14.43
13.15,25.59,-12.44
10.08,22.49,-12.4
5.31,19.05,-13.74
-16.07,12.03,-28.1
-30.46,3.53,-33.99
-34.71,-4.12,-30.59
-35.67,-10.43,-25.24
-32.9,-14.92,-17.98
-26.17,-17.17,-9.0
-15.7,-16.88,1.18
-8.73,-15.25,6.52
-5.81,-13.36,7.55
-5.28,-11.74,6.47
-2.69,-9.93,7.25
8.35,-6.28,14.63
6.27,-3.77,10.04
3.19,-2.38,5.56
-5.1,-2.92,-2.18
-33.73,-9.08,-24.65
-53.84,-18.03,-35.81
-73.22,-29.07,-44.15
-90.44,-41.34,-49.09
-87.27,-50.53,-36.74
-88.41,-58.11,-30.3
-92.69,-65.02,-27.66
-93.22,-70.66,-22.56
-84.96,-73.52,-11.44
-85.22,-75.86,-9.36
-87.26,-78.14,-9.12
-92.1,-80.93,-11.17
-92.04,-83.15,-8.88
-125.86,-91.69,-34.17
-152.2,-103.8,-48.4
-182.59,-119.56,-63.04
-201.5,-135.94,-65.55
-208.78,-150.51,-58.27
-210.6,-162.53,-48.07
