madc,signal,histogram
-55.01,-50.43,-4.58
-52.89,-50.92,-1.97
-50.62,-50.86,0.25
-44.12,-49.51,5.4
-40.59,-47.73,7.14
-36.8,-45.54,8.75
-29.46,-42.33,12.86
-20.37,-37.94,17.56
-15.62,-33.47,17.86
-11.73,-29.12,17.39
-6.17,-24.53,18.36
9.29,-17.77,27.06
31.41,-7.93,39.34
47.24,3.1,44.14
55.5,13.58,41.92
64.62,23.79,40.83
68.87,32.8,36.06
73.05,40.85,32.2
84.68,49.62,35.06
90.75,57.84,32.9
92.52,64.78,27.74
91.18,70.06,21.12
90.66,74.18,16.48
85.78,76.5,9.28
81.74,77.55,4.19
75.4,77.12,-1.72
73.0,76.3,-3.3
69.89,75.02,-5.12
59.7,71.95,-12.25
50.57,67.68,-17.1
42.68,62.68,-20.0
39.06,57.95,-18.9
34.61,53.28,-18.67
30.39,48.71,-18.31
28.21,44.61,-16.4
27.62,41.21,-13.59
27.14,38.4,-11.26
30.02,36.72,-6.7
32.68,35.91,-3.23
35.42,35.82,-0.39
36.33,35.92,0.41
39.66,36.67,2.99
37.04,36.74,0.3
34.62,36.32,-1.7
29.4,34.93,-5.54
28.17,33.58,-5.41
28.27,32.52,-4.25
27.83,31.58,-3.75
29.57,31.18,-1.61
29.97,30.94,-0.96
30.36,30.82,-0.46
28.2,30.3,-2.1
25.01,29.24,-4.23
22.47,27.88,-5.42
22.4,26.79,-4.39
21.17,25.66,-4.49
18.09,24.15,-6.06
14.33,22.19,-7.86
13.98,20.54,-6.57
14.69,19.37,-4.68
17.33,18.96,-1.64
18.68,18.91,-0.23
18.51,18.83,-0.32
17.25,18.51,-1.26
15.79,17.97,-2.18
14.25,17.22,-2.97
14.41,16.66,-2.25
14.14,16.16,-2.01
17.52,16.43,1.09
19.71,17.08,2.62
21.58,17.98,3.59
23.12,19.01,4.11
24.05,20.02,4.03
24.35,20.89,3.47
14.88,19.69,-4.8
8.12,17.37,-9.25
0.86,14.07,-13.21
-6.28,10.0,-16.28
-9.61,6.08,-15.69
-14.8,1.9,-16.7
