date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-14,4000.0,4000.0,4000.0,4000.0,691372000,172843,1,0.0,4000.0
2001-04-15,4000.0,4000.0,4000.0,4000.0,352000,88,1,4000.0,4000.0
2005-07-16,900.0,900.0,900.0,900.0,121500000,135000,14,4000.0,900.0
2005-07-17,810.0,810.0,810.0,810.0,57977370,71577,13,900.0,810.0
2005-07-19,750.0,751.0,750.0,750.0,46753750,62337,16,810.0,750.0
2005-07-20,750.0,751.0,750.0,750.0,210079250,280079,43,750.0,750.0
2005-07-23,750.0,760.0,750.0,753.0,595624290,792710,53,750.0,753.0
2005-07-24,753.0,787.0,750.0,753.0,813293056,1079984,27,753.0,753.0
2005-07-25,794.0,810.0,794.0,799.0,8962266,11204,6,753.0,799.0
2005-07-26,813.0,813.0,813.0,813.0,45528,56,1,799.0,813.0
2005-07-27,820.0,878.0,820.0,841.0,16125883,19164,14,813.0,841.0
2005-07-30,881.0,881.0,781.0,860.0,49921953,58027,21,841.0,860.0
2005-07-31,782.0,850.0,781.0,834.0,105430900,126342,18,860.0,834.0
2005-08-01,850.0,850.0,780.0,783.0,43098720,54984,20,834.0,783.0
2005-08-02,798.0,861.0,798.0,838.0,6569207,7835,4,783.0,838.0
2005-08-06,901.0,921.0,850.0,888.0,38169749,42964,16,838.0,888.0
2005-08-07,801.0,899.0,800.0,802.0,24401105,30425,5,888.0,802.0
2005-08-08,802.0,802.0,798.0,800.0,9847267,12309,7,802.0,800.0
2005-08-09,800.0,800.0,800.0,800.0,1600000,2000,1,800.0,800.0
2005-08-10,791.0,792.0,790.0,790.0,10704703,13543,7,800.0,790.0
2005-08-14,790.0,790.0,790.0,790.0,8749250,11075,7,790.0,790.0
2005-08-15,804.0,805.0,796.0,802.0,21527051,26828,11,790.0,802.0
2005-08-16,800.0,800.0,799.0,799.0,13653508,17075,8,802.0,799.0
2005-08-17,799.0,800.0,799.0,799.0,7175870,8980,4,799.0,799.0
2005-08-20,805.0,830.0,800.0,811.0,33075001,40778,19,799.0,811.0
2005-08-21,830.0,830.0,830.0,830.0,20750000,25000,5,811.0,830.0
2005-08-22,830.0,843.0,829.0,829.0,71280725,85889,22,830.0,829.0
2005-08-23,800.0,835.0,800.0,834.0,12746940,15277,7,829.0,834.0
2005-08-24,842.0,842.0,810.0,825.0,31549450,38213,13,834.0,825.0
2005-08-27,840.0,850.0,815.0,838.0,13349256,15928,14,825.0,838.0
2005-08-28,838.0,838.0,813.0,834.0,43652306,52287,9,838.0,834.0
2005-08-29,834.0,834.0,817.0,829.0,72921258,87943,19,834.0,829.0
2005-08-30,820.0,900.0,819.0,832.0,18793357,22586,8,829.0,832.0
2005-11-20,500.0,500.0,500.0,500.0,176505000,353010,19,832.0,500.0
2005-11-21,550.0,550.0,500.0,500.0,485750000,971400,57,500.0,500.0
2005-11-22,500.0,500.0,500.0,500.0,242407000,484814,40,500.0,500.0
2005-11-23,500.0,500.0,500.0,500.0,2389790000,4779580,95,500.0,500.0
2008-11-30,532.0,544.0,527.0,532.0,79825320,150010,18,500.0,532.0
2008-12-01,563.0,563.0,563.0,563.0,70808510,125770,26,532.0,563.0
2008-12-02,596.0,596.0,563.0,594.0,341570972,574948,84,563.0,594.0
2008-12-03,620.0,620.0,594.0,605.0,135197248,223177,31,594.0,605.0
2008-12-06,619.0,619.0,619.0,619.0,309500,500,1,605.0,619.0
