rsi
50.0
50.0
50.161
50.161
51.336
51.416
51.416
51.408
51.339
50.661
50.877
51.006
51.62
50.996
50.894
50.886
50.982
50.962
50.962
50.461
50.413
50.713
50.713
50.433
50.386
50.082
49.511
50.067
49.52
49.52
49.52
49.52
49.548
49.548
49.548
51.171
51.135
51.172
49.159
49.159
50.07
49.592
49.85
49.522
49.522
50.834
40.998
36.292
36.292
34.724
34.724
34.451
34.451
32.999
32.242
31.926
30.635
28.953
27.054
27.054
26.419
24.462
23.91
24.078
21.989
21.487
21.382
21.159
19.316
21.271
21.149
20.953
20.347
20.277
20.277
19.957
23.216
23.216
25.331
49.024
63.106
63.106
62.158
56.657
46.591
46.33
46.652
46.353
46.353
46.944
61.554
70.834
70.479
62.084
64.961
61.506
62.86
60.566
60.566
61.723
59.832
59.832
59.832
57.628
48.087
45.339
41.438
41.145
40.225
40.065
39.221
40.831
41.111
41.111
46.938
54.871
63.722
62.663
51.397
59.681
57.256
51.78
49.327
41.983
41.983
42.191
38.343
37.632
29.412
42.855
42.855
48.684
64.197
70.929
63.427
57.438
57.757
54.571
53.476
53.246
51.114
47.687
46.457
47.517
50.549
52.353
54.278
48.89
47.422
47.422
44.599
44.456
44.304
40.697
40.111
33.597
31.298
30.135
28.186
14.737
14.41
15.147
14.871
14.344
14.163
15.31
22.249
35.013
46.067
51.608
50.49
50.373
50.497
48.288
43.688
44.29
44.449
43.641
41.218
33.806
33.806
44.355
44.514
50.45
52.147
51.828
49.392
47.012
46.212
42.336
46.04
51.513
48.122
46.316
43.146
48.976
49.157
50.848
50.848
48.758
47.091
34.186
33.701
29.626
32.553
34.509
34.764
35.036
44.507
52.378
58.412
65.985
70.869
73.776
79.955
72.07
64.361
58.052
47.933
47.933
49.465
52.945
52.945
52.945
52.816
52.538
50.675
56.547
57.725
35.783
41.486
41.486
41.486
41.486
41.387
44.385
44.385
48.729
53.072
60.219
62.401
66.604
70.258
73.109
72.775
71.717
72.714
72.322
75.893
75.893
75.671
73.584
29.265
29.224
29.331
31.459
32.268
32.636
35.159
38.858
40.915
45.769
57.428
52.732
48.543
51.824
51.824
51.824
53.069
55.273
57.603
57.603
57.603
57.713
57.948
63.706
71.231
78.601
83.402
86.298
88.952
90.905
88.125
80.702
81.821
82.421
82.226
80.287
78.812
77.176
77.061
71.239
67.986
67.986
67.627
66.372
66.108
66.108
64.181
64.181
53.129
53.129
51.835
52.086
51.365
46.257
45.859
52.339
63.054
67.781
73.651
77.041
78.278
84.024
77.936
71.483
71.483
70.114
70.318
70.189
69.231
68.942
68.174
67.527
64.24
58.008
58.221
69.166
73.232
73.764
73.764
74.754
71.835
69.765
62.059
59.979
59.979
58.995
58.14
57.246
52.549
54.053
50.277
50.277
49.014
48.268
48.268
54.318
44.584
44.993
40.786
40.472
40.472
40.472
40.087
52.875
57.978
57.978
57.978
60.993
68.822
74.275
79.679
85.572
90.379
93.017
92.892
92.913
92.913
89.607
85.44
85.696
86.217
86.217
87.292
87.292
87.321
91.134
91.477
91.635
94.357
95.196
95.196
91.139
83.703
84.877
93.661
77.998
81.205
83.74
86.0
87.589
88.793
89.698
91.12
91.083
89.573
88.319
88.319
88.961
89.14
89.931
89.931
90.369
90.861
92.747
90.09
90.549
91.365
92.492
93.961
94.448
95.46
96.236
96.847
97.335
97.678
98.017
98.299
98.759
98.868
98.868
98.874
98.88
99.048
99.187
99.302
99.398
99.479
99.723
99.751
85.871
82.686
82.97
81.454
81.268
80.665
77.38
77.849
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
79.103
