time,BUP,MA,BDOWN
989091000000.0,0,3260.0,0
989177400000.0,0,3260.0,0
989263800000.0,0,3267.0,0
989350200000.0,0,3270.5,0
989609400000.0,0,3304.2,0
989695800000.0,0,3328.5,0
989868600000.0,0,3345.857,0
989955000000.0,0,3358.75,0
990214200000.0,0,3367.778,0
990300600000.0,0,3366.0,0
990387000000.0,0,3367.273,0
990559800000.0,0,3369.833,0
990819000000.0,0,3378.692,0
990905400000.0,0,3380.214,0
990991800000.0,0,3380.667,0
991078200000.0,0,3381.0,0
991164600000.0,0,3381.941,0
991423800000.0,0,3382.667,0
991510200000.0,0,3383.316,0
991769400000.0,3511.544,3381.65,3251.756
992028600000.0,3504.664,3385.95,3267.236
992201400000.0,3495.614,3391.45,3287.286
992287800000.0,3487.678,3395.9,3304.122
992374200000.0,3477.739,3399.4,3321.061
992633400000.0,3474.026,3394.85,3315.674
992719800000.0,3468.585,3388.85,3309.115
992806200000.0,3465.092,3381.25,3297.408
992892600000.0,3456.09,3375.15,3294.21
992979000000.0,3449.659,3368.15,3286.641
993238200000.0,3452.147,3365.65,3279.153
993324600000.0,3452.416,3361.65,3270.884
993411000000.0,3449.693,3356.75,3263.807
993497400000.0,3422.595,3347.55,3272.505
993583800000.0,3416.2,3342.6,3269.0
993843000000.0,3411.066,3338.3,3265.534
993929400000.0,3406.172,3336.5,3266.828
994015800000.0,3398.368,3334.1,3269.832
994102200000.0,3390.321,3331.85,3273.379
994188600000.0,3379.387,3327.1,3274.813
994447800000.0,3377.05,3324.6,3272.15
994534200000.0,3374.845,3323.3,3271.755
994620600000.0,3367.417,3320.3,3273.183
994707000000.0,3358.798,3317.55,3276.302
994793400000.0,3353.85,3315.45,3277.05
995052600000.0,3348.937,3313.5,3278.063
995139000000.0,3348.937,3313.5,3278.063
999459000000.0,3385.694,3306.1,3226.506
999545400000.0,3432.32,3291.65,3150.98
999631800000.0,3457.311,3278.55,3099.789
999891000000.0,3479.145,3263.55,3047.955
999977400000.0,3491.876,3248.55,3005.224
1000063800000.0,3499.146,3233.25,2967.354
1000150200000.0,3501.252,3217.9,2934.548
1000236600000.0,3502.048,3201.1,2900.152
1000495800000.0,3499.702,3183.55,2867.398
1000582200000.0,3486.112,3163.25,2840.388
1000668600000.0,3469.417,3141.8,2814.183
1000755000000.0,3449.474,3118.7,2787.926
1000845000000.0,3435.689,3096.2,2756.711
1001104200000.0,3415.816,3073.7,2731.584
1001190600000.0,3386.792,3049.6,2712.408
1001277000000.0,3355.756,3024.1,2692.444
1001363400000.0,3316.169,2997.8,2679.431
1001449800000.0,3268.384,2971.85,2675.316
