adx,DI+,DI-
0,0,0
0,0,0
0.0,0.0,0.000308450355220068
0.0,0.0,0.00018590668083032496
0.0,0.0,0.0001528682564589672
0.0,0.0,0.00013601090295706277
0.0,0.0,0.0001160409149127116
0.0,0.0,0.00011657205925238611
0.0,3.144577435888002e-05,9.473189679752505e-05
0.0,7.871498575738312e-05,7.866129316165756e-05
0.0,8.261525896876635e-05,6.688254148683556e-05
0.0,6.931453976255116e-05,5.611472552621796e-05
0.0,5.267845789197856e-05,5.822856621030225e-05
0.0,5.857678694647466e-05,5.124940035281532e-05
0.0,5.0817848439095284e-05,6.808233944713429e-05
0.0,4.4مe-05,8.162173711929461e-05
51.94428063471556,4.1047918064729424e-05,7.587404198133314e-05
46.92897958036173,3.642172854319147e-05,0.00010143391272419038
43.15466608128123,7.521763007676331e-05,8.427505028024424e-05
36.41744422182065,7.027296615758141e-05,8.480341977085234e-05
29.94386340855507,9.964968036573216e-05,7.850912126533956e-05
23.64858714405907,9.373843537087519e-05,7.954724533983999e-05
17.09069260551569,0.00010708655566708782,7.577345577708183e-05
14.731244496218068,0.00010256668169292985,7.257523478131493e-05
15.951956319764703,0.00011320416576952698,6.463206695436913e-05
17.15117869140128,0.0001354539363172856,5.957280616885454e-05
19.178632442189944,0.0001258552233473335,6.039554097233335e-05
21.331611347753665,0.00011966747702170017,5.742615855977488e-05
23.365482147744867,0.00013384649856970952,5.494373717509285e-05
25.31360527569584,0.00013252699981533916,4.8549027943032706e-05
26.498705554004328,0.0001398380878531367,4.2687114170744046e-05
28.17301089947447,0.0001256561382983017,3.7705997658779095e-05
28.650005186515237,0.00011457515192489213,3.43808943099808e-05
32.089907833936074,0.00010154120194782544,5.824823844982597e-05
33.35589989747223,0.0001109312733196078,5.35036597595291e-05
35.002905978424856,0.00011987406272524283,5.086905612435915e-05
37.304694580326256,0.00014729075404986121,3.377302382498508e-05
40.559751990333645,0.0001564829142336936,2.66688536763454e-05
44.39930776935428,0.0001348620504676213,4.0163684623942934e-05
46.313062799253714,0.0001440518498343219,3.551318817862075e-05
47.85143820732998,0.00014707066331170823,2.627747756357258e-05
50.31832603561528,0.00013296912598186161,2.352294124808837e-05
