time,BUP,MA,BDOWN
1170534600000.0,0,3704.0,0
1170621000000.0,0,3741.0,0
1170707400000.0,0,3778.333,0
1170793800000.0,0,3816.25,0
1171053000000.0,0,3854.6,0
1171225800000.0,0,3880.833,0
1171312200000.0,0,3911.0,0
1171398600000.0,0,3943.75,0
1171657800000.0,0,3976.111,0
1171744200000.0,0,4001.2,0
1171830600000.0,0,4020.727,0
1171917000000.0,0,4034.917,0
1173731400000.0,0,4040.769,0
1173817800000.0,0,4044.5,0
1174077000000.0,0,4048.2,0
1174249800000.0,0,4052.688,0
1174768200000.0,0,4058.353,0
1174851000000.0,0,4063.389,0
1174937400000.0,0,4067.895,0
1175023800000.0,4362.86,4072.05,3781.24
1175283000000.0,4333.071,4094.65,3856.229
1175542200000.0,4303.781,4113.65,3923.519
1175628600000.0,4277.771,4129.15,3980.529
1175887800000.0,4259.008,4141.1,4023.192
1175974200000.0,4251.193,4149.55,4047.907
1176060600000.0,4238.591,4158.1,4077.609
1176147000000.0,4238.342,4162.9,4087.458
1176233400000.0,4240.25,4163.85,4087.45
1176492600000.0,4232.871,4161.95,4091.029
1176579000000.0,4227.426,4160.6,4093.774
1176665400000.0,4224.652,4159.9,4095.148
1176751800000.0,4226.781,4160.55,4094.319
1176838200000.0,4231.159,4165.55,4099.941
1177097400000.0,4231.979,4171.75,4111.521
1177183800000.0,4232.416,4177.9,4123.384
1177270200000.0,4235.359,4183.35,4131.341
1177356600000.0,4241.322,4187.55,4133.778
1177443000000.0,4271.205,4195.95,4120.695
1177702200000.0,4323.329,4208.65,4093.971
1177788600000.0,4390.801,4225.65,4060.499
1177875000000.0,4468.212,4246.65,4025.088
1177961400000.0,4538.574,4269.45,4000.326
1178047800000.0,4619.336,4296.3,3973.264
1178307000000.0,4710.331,4327.5,3944.669
1178393400000.0,4809.763,4363.0,3916.237
1178479800000.0,4916.693,4403.05,3889.407
1178566200000.0,5023.703,4446.6,3869.497
1178652600000.0,5137.005,4494.95,3852.895
1178911800000.0,5245.739,4546.15,3846.561
1178998200000.0,5359.87,4602.35,3844.83
1179084600000.0,5474.643,4662.95,3851.257
1179171000000.0,5547.841,4718.25,3888.659
1179257400000.0,5590.345,4768.35,3946.355
1179516600000.0,5606.758,4812.95,4019.142
1179603000000.0,5602.307,4852.45,4102.593
1179689400000.0,5591.616,4894.15,4196.684
1179775800000.0,5571.823,4938.4,4304.977
1179862200000.0,5539.643,4973.6,4407.557
1180121400000.0,5502.901,5000.1,4497.299
1180207800000.0,5469.304,5022.1,4574.896
1180294200000.0,5440.572,5040.55,4640.528
1180380600000.0,5409.627,5059.1,4708.573
1180467000000.0,5387.541,5078.15,4768.759
1180726200000.0,5375.976,5095.1,4814.224
1182627000000.0,5378.615,5093.85,4809.085
1182713400000.0,5382.137,5090.3,4798.463
1182799800000.0,5393.245,5078.25,4763.255
1182886200000.0,5404.811,5056.4,4707.989
1183145400000.0,5393.58,5034.55,4675.52
1183231800000.0,5352.851,5010.45,4668.049
1183318200000.0,5275.418,4984.55,4693.682
1183404600000.0,5216.595,4966.95,4717.305
1183491000000.0,5181.496,4957.15,4732.804
1183750200000.0,5175.487,4955.4,4735.313
1183836600000.0,5197.958,4962.45,4726.942
1183923000000.0,5236.722,4972.0,4707.278
1184009400000.0,5288.514,4983.35,4678.186
1184095800000.0,5371.908,5004.85,4637.792
1184355000000.0,5473.7,5036.2,4598.7
1184441400000.0,5555.166,5067.15,4579.134
1184527800000.0,5647.18,5102.15,4557.12
1184614200000.0,5738.471,5137.9,4537.329
1184700600000.0,5814.755,5168.45,4522.145
1184959800000.0,5904.697,5202.05,4499.403
1185046200000.0,6004.711,5254.9,4505.089
1185132600000.0,6116.42,5311.1,4505.78
1185219000000.0,6227.715,5377.65,4527.585
1185305400000.0,6323.684,5452.9,4582.116
1185651000000.0,6425.529,5530.55,4635.571
1185737400000.0,6530.721,5610.55,4690.379
1185823800000.0,6615.716,5688.1,4760.484
1185910200000.0,6683.606,5762.75,4841.894
1186169400000.0,6760.627,5840.9,4921.173
1186255800000.0,6821.664,5916.9,5012.136
1186342200000.0,6871.027,5989.65,5108.273
1186428600000.0,6911.635,6057.85,5204.065
1186515000000.0,6943.251,6121.75,5300.249
1186860600000.0,6975.137,6182.3,5389.463
1186947000000.0,7004.214,6238.0,5471.786
1187033400000.0,7027.54,6298.35,5569.16
1187119800000.0,7051.323,6356.1,5660.877
1187379000000.0,7042.855,6404.55,5766.245
1187465400000.0,7029.097,6459.7,5890.303
1187551800000.0,7035.405,6516.0,5996.595
1187638200000.0,7068.928,6573.3,6077.672
1187724600000.0,7109.916,6626.75,6143.584
1187983800000.0,7181.05,6681.05,6181.05
1188070200000.0,7227.026,6728.45,6229.874
1188156600000.0,7257.335,6766.9,6276.465
1188243000000.0,7315.215,6806.95,6298.685
1188588600000.0,7363.35,6847.4,6331.45
1188675000000.0,7404.36,6888.95,6373.54
1188761400000.0,7455.447,6926.45,6397.453
1188847800000.0,7499.27,6963.85,6428.43
1188934200000.0,7563.418,7007.8,6452.182
1189193400000.0,7647.916,7058.75,6469.584
1189366200000.0,8051.444,7161.55,6271.656
1189452600000.0,8370.507,7267.15,6163.793
1189539000000.0,8575.701,7363.8,6151.899
1189798200000.0,8711.188,7447.7,6184.212
1189884600000.0,8825.117,7529.25,6233.383
1189971000000.0,8906.689,7617.3,6327.911
1190057400000.0,8975.819,7698.75,6421.681
1190147400000.0,9012.942,7765.05,6517.158
1190406600000.0,9067.943,7832.65,6597.357
1190493000000.0,9125.084,7903.05,6681.016
1190579400000.0,9170.8,7965.0,6759.2
1190665800000.0,9218.848,8037.55,6856.252
1190752200000.0,9231.2,8110.45,6989.7
1191011400000.0,9243.841,8178.35,7112.859
1191097800000.0,9226.022,8240.75,7255.478
1191184200000.0,9189.887,8302.65,7415.413
1191270600000.0,9150.303,8370.25,7590.197
1191616200000.0,9094.668,8445.85,7797.032
1191702600000.0,9053.928,8522.95,7991.972
1191789000000.0,9030.568,8599.7,8168.832
1191875400000.0,9096.276,8619.35,8142.424
1191961800000.0,9187.053,8642.45,8097.847
1192307400000.0,9274.616,8673.55,8072.484
1192393800000.0,9340.404,8710.95,8081.496
1192480200000.0,9378.201,8743.25,8108.299
1192566600000.0,9401.796,8772.85,8143.904
1192825800000.0,9404.431,8795.2,8185.969
1192912200000.0,9377.165,8819.0,8260.835
1192998600000.0,9364.203,8836.35,8308.497
1193085000000.0,9357.966,8842.4,8326.834
1193171400000.0,9346.703,8851.6,8356.497
1193430600000.0,9354.639,8845.35,8336.061
1193517000000.0,9366.848,8838.15,8309.452
1193603400000.0,9398.134,8821.4,8244.666
1193689800000.0,9410.3,8814.0,8217.7
1193776200000.0,9430.169,8802.05,8173.931
1194035400000.0,9456.571,8778.35,8100.129
1194121800000.0,9483.341,8738.95,7994.559
1194208200000.0,9477.826,8690.45,7903.074
1194381000000.0,9435.765,8634.6,7833.435
1194640200000.0,9396.751,8583.55,7770.349
1194726600000.0,9311.174,8524.15,7737.126
1194813000000.0,9207.878,8464.95,7722.022
1194899400000.0,9094.675,8407.85,7721.025
1196022600000.0,8987.207,8356.05,7724.893
1196109000000.0,8872.587,8307.0,7741.413
1196195400000.0,8778.853,8265.5,7752.147
1196454600000.0,8705.621,8230.95,7756.279
1196541000000.0,8617.125,8186.8,7756.475
1196627400000.0,8564.972,8141.25,7717.528
1196800200000.0,8510.598,8086.85,7663.102
1197059400000.0,8476.21,8040.3,7604.39
1197145800000.0,8443.85,7997.5,7551.15
1197232200000.0,8440.511,7958.05,7475.589
1197318600000.0,8403.642,7914.1,7424.558
1197664200000.0,8368.344,7873.9,7379.456
1197750600000.0,8335.755,7837.3,7338.845
1197923400000.0,8318.313,7807.8,7297.287
