conversion_line,base_line,lagging_span,leading_line1,leading_line2
3800.0,3800.0,4183.0,0,0
3800.0,3800.0,4188.0,0,0
3800.0,3800.0,4192.0,0,0
3800.0,3800.0,4197.0,0,0
3804.0,3804.0,4200.0,0,0
3844.0,3844.0,4202.0,0,0
3846.0,3846.0,4204.0,0,0
3886.5,3886.5,4211.0,0,0
3928.0,3928.0,4217.0,0,0
4017.5,3928.5,4223.0,0,0
4055.0,3928.5,4229.0,0,0
4093.5,3928.5,4233.0,0,0
4132.5,3928.5,4317.0,0,0
3054.5,3054.5,4403.0,0,0
3054.5,3054.5,4491.0,0,0
3054.5,3054.5,4576.0,0,0
3054.5,3054.5,4614.0,0,0
3054.5,3054.5,4700.0,0,0
3041.5,3054.5,4793.0,0,0
3041.5,3054.5,4887.0,0,0
3043.0,3054.5,4984.0,0,0
3045.5,3054.5,5059.0,0,0
4156.5,3054.5,5159.0,0,0
4179.0,3054.5,5221.0,0,0
4200.5,3054.5,5324.0,0,0
4204.5,3056.0,5414.0,3800.0,3800.0
4207.5,3059.0,5310.0,3800.0,3800.0
4211.0,3061.5,5213.0,3800.0,3800.0
4215.5,3063.5,5109.0,3800.0,3800.0
4219.0,3066.0,5013.0,3804.0,3804.0
4223.5,3068.0,5063.0,3844.0,3844.0
4227.5,3069.0,5118.0,3846.0,3846.0
4232.5,3070.0,5021.0,3886.5,3886.5
4239.0,3073.5,4933.0,3928.0,3928.0
4244.5,3076.5,4931.0,3973.0,3928.5
4249.5,3079.5,4945.0,3991.75,3928.5
4255.0,3082.5,4985.0,4011.0,3928.5
4258.5,3084.5,5081.0,4030.5,3928.5
4302.5,3127.5,5132.0,3054.5,3054.5
4347.5,4281.5,4862.0,3054.5,3054.5
4395.5,4346.0,4913.0,3054.5,3054.5
4442.0,4408.0,4818.0,3054.5,3054.5
4464.5,4427.5,4722.0,3054.5,3054.5
4511.5,4471.5,4784.0,3048.0,3054.5
4560.5,4519.5,4842.0,3048.0,3054.5
4650.5,4570.0,4896.0,3048.75,3054.5
4743.0,4620.5,4958.0,3050.0,3054.5
4825.5,4661.5,5017.0,3605.5,3054.5
